"","item","position","id","name","X"
"1","https://openalex.org/W3195487977","first","https://openalex.org/A2499175000","Eduardo AndrÈs Sandoval Forero",NA
"2","https://openalex.org/W3195487977","last","https://openalex.org/A2512179654","JosÈ Javier Capera Figueroa",NA
"3","https://openalex.org/W3195583762","first","https://openalex.org/A3195070249","Yevhen Leheza",NA
"4","https://openalex.org/W3195583762","middle","https://openalex.org/A3193479066","Iryna Odyntsova.",NA
"5","https://openalex.org/W3195583762","last","https://openalex.org/A3194055744","Natalia Dmytrenko.",NA
"6","https://openalex.org/W3217535967","first","https://openalex.org/A2324782922","Victor Nikiforovich Sidorov",NA
"7","https://openalex.org/W3217535967","last","https://openalex.org/A1968884417","Elena Victorovna Sidorova",NA
"8","https://openalex.org/W3193844173","first","https://openalex.org/A3194761351","Alexis Pena Fern·ndez",NA
"9","https://openalex.org/W3193961643","first","https://openalex.org/A3194725604","Maria Muriel RÌos",NA
"10","https://openalex.org/W3195908097","first","https://openalex.org/A3193646813","Jonat·n Alexis Agudelo Bran",NA
"11","https://openalex.org/W3195905401","first","https://openalex.org/A2209810778","JosÈ Fernando Valencia Grajales",NA
"12","https://openalex.org/W3195905401","middle","https://openalex.org/A2482661141","Mayda Soraya MarÌn Galeano",NA
"13","https://openalex.org/W3195905401","last","https://openalex.org/A3195824885","Juan Carlos Beltr·n LÛpez",NA
"14","https://openalex.org/W3194172055","first","https://openalex.org/A3009126107","Lucas MenÈndez Conca",NA
"15","https://openalex.org/W3194181442","first","https://openalex.org/A3194649405","Manuela Betancur Morales",NA
"16","https://openalex.org/W3193823813","first","https://openalex.org/A3194592862","Rosmery Janet Villavicencio Heredia",NA
"17","https://openalex.org/W3195748734","first","https://openalex.org/A3194148429","CÈsar Augusto Costa",NA
"18","https://openalex.org/W3194615489","first","https://openalex.org/A3195108506","Ana Margarita Carmona Tamayo",NA
"19","https://openalex.org/W3194615489","last","https://openalex.org/A3195501356","Juan JosÈ GÛmez Betancur",NA
"20","https://openalex.org/W3195276780","first","https://openalex.org/A3195005357","Juliana RamÌrez Rojas",NA
"21","https://openalex.org/W3194534646","first","https://openalex.org/A3193706142","Ricardo SanÌn Restrepo",NA
"22","https://openalex.org/W3194218506","first","https://openalex.org/A3194500054","Andrea GÛmez Munoz",NA
