"","work","cit"
"1","https://openalex.org/W2334055884","https://openalex.org/W3009678244"
"2","https://openalex.org/W2334055884","https://openalex.org/W2978737099"
"3","https://openalex.org/W2334055884","https://openalex.org/W393731495"
"4","https://openalex.org/W2334055884","https://openalex.org/W2182428615"
"5","https://openalex.org/W2334055884","https://openalex.org/W2099663242"
"6","https://openalex.org/W3125565931","https://openalex.org/W2779483416"
"7","https://openalex.org/W3125565931","https://openalex.org/W2561555221"
"8","https://openalex.org/W3125565931","https://openalex.org/W2057352260"
"9","https://openalex.org/W3123467045","https://openalex.org/W2534456358"
"10","https://openalex.org/W3123467045","https://openalex.org/W2331236721"
"11","https://openalex.org/W3123467045","https://openalex.org/W2475656431"
"12","https://openalex.org/W3123467045","https://openalex.org/W3124127280"
"13","https://openalex.org/W3123467045","https://openalex.org/W2246531630"
"14","https://openalex.org/W3123467045","https://openalex.org/W3122705083"
"15","https://openalex.org/W2143602811","https://openalex.org/W2901626194"
"16","https://openalex.org/W2143602811","https://openalex.org/W2752666949"
"17","https://openalex.org/W2143602811","https://openalex.org/W2179694881"
"18","https://openalex.org/W2143602811","https://openalex.org/W2095710846"
"19","https://openalex.org/W2032628443","https://openalex.org/W3162360811"
"20","https://openalex.org/W2032628443","https://openalex.org/W4206761305"
"21","https://openalex.org/W2032628443","https://openalex.org/W3039472723"
"22","https://openalex.org/W2032628443","https://openalex.org/W2110741029"
"23","https://openalex.org/W2032628443","https://openalex.org/W2042852724"
"24","https://openalex.org/W2032628443","https://openalex.org/W3121990328"
"25","https://openalex.org/W2016154477","https://openalex.org/W3147185556"
"26","https://openalex.org/W2016154477","https://openalex.org/W3091913472"
"27","https://openalex.org/W2016154477","https://openalex.org/W3164283466"
"28","https://openalex.org/W2016154477","https://openalex.org/W3202871424"
"29","https://openalex.org/W2016154477","https://openalex.org/W3205365595"
"30","https://openalex.org/W2016154477","https://openalex.org/W3186320895"
"31","https://openalex.org/W2016154477","https://openalex.org/W3172097213"
"32","https://openalex.org/W2016154477","https://openalex.org/W3204937104"
"33","https://openalex.org/W2016154477","https://openalex.org/W3012554391"
"34","https://openalex.org/W2016154477","https://openalex.org/W3088343070"
"35","https://openalex.org/W2016154477","https://openalex.org/W2991459905"
"36","https://openalex.org/W2016154477","https://openalex.org/W2953984356"
"37","https://openalex.org/W2016154477","https://openalex.org/W2917835447"
"38","https://openalex.org/W2016154477","https://openalex.org/W2953337425"
"39","https://openalex.org/W2016154477","https://openalex.org/W2883761972"
"40","https://openalex.org/W2016154477","https://openalex.org/W3014988578"
"41","https://openalex.org/W2016154477","https://openalex.org/W2802924569"
"42","https://openalex.org/W2016154477","https://openalex.org/W2609747620"
"43","https://openalex.org/W2016154477","https://openalex.org/W2606670193"
"44","https://openalex.org/W2016154477","https://openalex.org/W2605128856"
"45","https://openalex.org/W2016154477","https://openalex.org/W2209986322"
"46","https://openalex.org/W2016154477","https://openalex.org/W2220818103"
"47","https://openalex.org/W2016154477","https://openalex.org/W2295239251"
"48","https://openalex.org/W2016154477","https://openalex.org/W2121916279"
"49","https://openalex.org/W2016154477","https://openalex.org/W2178860215"
"50","https://openalex.org/W1018469321","https://openalex.org/W2778796563"
"51","https://openalex.org/W1018469321","https://openalex.org/W759148840"
"52","https://openalex.org/W2118322268","https://openalex.org/W1577475026"
"53","https://openalex.org/W2118322268","https://openalex.org/W2063539469"
"54","https://openalex.org/W1970411997","https://openalex.org/W3208693872"
"55","https://openalex.org/W1970411997","https://openalex.org/W3199872150"
"56","https://openalex.org/W1970411997","https://openalex.org/W2785077997"
"57","https://openalex.org/W1970411997","https://openalex.org/W2162474855"
"58","https://openalex.org/W1970411997","https://openalex.org/W2023433542"
"59","https://openalex.org/W1970411997","https://openalex.org/W2033750868"
"60","https://openalex.org/W1970411997","https://openalex.org/W2552523052"
"61","https://openalex.org/W2151054860","https://openalex.org/W2285366107"
"62","https://openalex.org/W2069619039","https://openalex.org/W2903658720"
"63","https://openalex.org/W2069619039","https://openalex.org/W2884156461"
"64","https://openalex.org/W2069619039","https://openalex.org/W1712084696"
"65","https://openalex.org/W2069619039","https://openalex.org/W2492627349"
