"","Source","Target","weight"
"1","https://openalex.org/A2140083886","https://openalex.org/A2614867626",20
"2","https://openalex.org/A2632521139","https://openalex.org/A2724770613",20
"3","https://openalex.org/A2103531143","https://openalex.org/A283571327",17
"4","https://openalex.org/A2498297285","https://openalex.org/A318702401",17
"5","https://openalex.org/A150191985","https://openalex.org/A2137560783",14
"6","https://openalex.org/A197602260","https://openalex.org/A2146143665",12
"7","https://openalex.org/A1264869892","https://openalex.org/A2333605816",9
"8","https://openalex.org/A2009102803","https://openalex.org/A2141839410",9
"9","https://openalex.org/A2104163316","https://openalex.org/A2489545130",9
"10","https://openalex.org/A2138272563","https://openalex.org/A3112350994",9
"11","https://openalex.org/A24347525","https://openalex.org/A718266907",9
"12","https://openalex.org/A2682765238","https://openalex.org/A2719240270",9
"13","https://openalex.org/A2798995248","https://openalex.org/A2947350305",9
"14","https://openalex.org/A3005542175","https://openalex.org/A3006637088",9
"15","https://openalex.org/A1059067897","https://openalex.org/A1902008242",8
"16","https://openalex.org/A1998905604","https://openalex.org/A2156806390",8
"17","https://openalex.org/A2062024486","https://openalex.org/A2158741260",8
"18","https://openalex.org/A2137560783","https://openalex.org/A2140083886",8
"19","https://openalex.org/A2137560783","https://openalex.org/A2614867626",8
"20","https://openalex.org/A2155516799","https://openalex.org/A79575837",8
"21","https://openalex.org/A1310527997","https://openalex.org/A1994630096",7
"22","https://openalex.org/A150191985","https://openalex.org/A2062024486",7
"23","https://openalex.org/A2046557135","https://openalex.org/A2568872979",7
"24","https://openalex.org/A2420711230","https://openalex.org/A318702401",7
"25","https://openalex.org/A172372313","https://openalex.org/A2212374755",6
"26","https://openalex.org/A1740534276","https://openalex.org/A2493557370",6
"27","https://openalex.org/A1840251156","https://openalex.org/A2019748336",6
"28","https://openalex.org/A2011028198","https://openalex.org/A46475606",6
"29","https://openalex.org/A2012319939","https://openalex.org/A2810980003",6
"30","https://openalex.org/A2099005451","https://openalex.org/A2599463086",6
"31","https://openalex.org/A2106017715","https://openalex.org/A2589655598",6
"32","https://openalex.org/A2136671214","https://openalex.org/A387531778",6
"33","https://openalex.org/A2165656917","https://openalex.org/A2811192332",6
"34","https://openalex.org/A2212374755","https://openalex.org/A2249123084",6
"35","https://openalex.org/A24347525","https://openalex.org/A56345256",6
"36","https://openalex.org/A2649166696","https://openalex.org/A283571327",6
"37","https://openalex.org/A150191985","https://openalex.org/A2140083886",5
"38","https://openalex.org/A150191985","https://openalex.org/A283571327",5
"39","https://openalex.org/A172372313","https://openalex.org/A2249123084",5
"40","https://openalex.org/A1840251156","https://openalex.org/A2196996014",5
"41","https://openalex.org/A1845336291","https://openalex.org/A2125767487",5
"42","https://openalex.org/A1889377627","https://openalex.org/A2497369243",5
"43","https://openalex.org/A1960492502","https://openalex.org/A2165244083",5
"44","https://openalex.org/A1965252728","https://openalex.org/A2150509713",5
"45","https://openalex.org/A1980035151","https://openalex.org/A2305265454",5
"46","https://openalex.org/A2024031949","https://openalex.org/A2118613569",5
"47","https://openalex.org/A2046557135","https://openalex.org/A2555346668",5
"48","https://openalex.org/A2066433023","https://openalex.org/A49292540",5
"49","https://openalex.org/A2066433023","https://openalex.org/A507164879",5
"50","https://openalex.org/A2074656087","https://openalex.org/A2765813855",5
"51","https://openalex.org/A2077615178","https://openalex.org/A2228449327",5
"52","https://openalex.org/A2099005451","https://openalex.org/A2152632125",5
"53","https://openalex.org/A2103531143","https://openalex.org/A2190618299",5
"54","https://openalex.org/A2104676333","https://openalex.org/A2236626766",5
"55","https://openalex.org/A2104676333","https://openalex.org/A2309449423",5
"56","https://openalex.org/A2104676333","https://openalex.org/A245494923",5
"57","https://openalex.org/A2105058207","https://openalex.org/A2129887896",5
"58","https://openalex.org/A2114012875","https://openalex.org/A2201576805",5
"59","https://openalex.org/A2114012875","https://openalex.org/A2511469230",5
"60","https://openalex.org/A2120159777","https://openalex.org/A2558844600",5
"61","https://openalex.org/A2137560783","https://openalex.org/A283571327",5
"62","https://openalex.org/A2140083886","https://openalex.org/A2280312759",5
"63","https://openalex.org/A2144033837","https://openalex.org/A2587703341",5
"64","https://openalex.org/A2144896618","https://openalex.org/A2156059754",5
"65","https://openalex.org/A2149959337","https://openalex.org/A2555859626",5
"66","https://openalex.org/A2190618299","https://openalex.org/A283571327",5
"67","https://openalex.org/A2201576805","https://openalex.org/A2511469230",5
"68","https://openalex.org/A2236626766","https://openalex.org/A2309449423",5
"69","https://openalex.org/A2236626766","https://openalex.org/A245494923",5
"70","https://openalex.org/A2309449423","https://openalex.org/A245494923",5
"71","https://openalex.org/A2420711230","https://openalex.org/A2498297285",5
"72","https://openalex.org/A2437087323","https://openalex.org/A2938015465",5
"73","https://openalex.org/A2555346668","https://openalex.org/A2568872979",5
"74","https://openalex.org/A49292540","https://openalex.org/A507164879",5
"75","https://openalex.org/A101025800","https://openalex.org/A2485898999",4
"76","https://openalex.org/A102832737","https://openalex.org/A1790930834",4
"77","https://openalex.org/A105480325","https://openalex.org/A2281171898",4
"78","https://openalex.org/A1259395935","https://openalex.org/A2240699247",4
"79","https://openalex.org/A150191985","https://openalex.org/A2158741260",4
"80","https://openalex.org/A1536303371","https://openalex.org/A1920287254",4
"81","https://openalex.org/A1536303371","https://openalex.org/A2000500885",4
"82","https://openalex.org/A1536303371","https://openalex.org/A2063466544",4
"83","https://openalex.org/A1536303371","https://openalex.org/A2100846658",4
"84","https://openalex.org/A1536303371","https://openalex.org/A2149959337",4
"85","https://openalex.org/A1536303371","https://openalex.org/A2155504495",4
"86","https://openalex.org/A1536303371","https://openalex.org/A2426000207",4
"87","https://openalex.org/A1536303371","https://openalex.org/A2555859626",4
"88","https://openalex.org/A1536303371","https://openalex.org/A2658514251",4
"89","https://openalex.org/A1536303371","https://openalex.org/A2659810571",4
"90","https://openalex.org/A1536303371","https://openalex.org/A2720082273",4
"91","https://openalex.org/A1536303371","https://openalex.org/A2722547266",4
"92","https://openalex.org/A1536303371","https://openalex.org/A3022811396",4
"93","https://openalex.org/A1592443134","https://openalex.org/A2150692096",4
"94","https://openalex.org/A1721802016","https://openalex.org/A2128993679",4
"95","https://openalex.org/A1838393963","https://openalex.org/A423108166",4
"96","https://openalex.org/A1845306793","https://openalex.org/A2561817924",4
"97","https://openalex.org/A1871564184","https://openalex.org/A2159335196",4
"98","https://openalex.org/A1920287254","https://openalex.org/A2000500885",4
"99","https://openalex.org/A1920287254","https://openalex.org/A2063466544",4
"100","https://openalex.org/A1920287254","https://openalex.org/A2100846658",4
"101","https://openalex.org/A1920287254","https://openalex.org/A2149959337",4
"102","https://openalex.org/A1920287254","https://openalex.org/A2155504495",4
"103","https://openalex.org/A1920287254","https://openalex.org/A2426000207",4
"104","https://openalex.org/A1920287254","https://openalex.org/A2555859626",4
"105","https://openalex.org/A1920287254","https://openalex.org/A2658514251",4
"106","https://openalex.org/A1920287254","https://openalex.org/A2659810571",4
"107","https://openalex.org/A1920287254","https://openalex.org/A2720082273",4
"108","https://openalex.org/A1920287254","https://openalex.org/A2722547266",4
"109","https://openalex.org/A1920287254","https://openalex.org/A3022811396",4
"110","https://openalex.org/A1960492502","https://openalex.org/A2142476155",4
"111","https://openalex.org/A1976674097","https://openalex.org/A2158683946",4
"112","https://openalex.org/A1983171864","https://openalex.org/A2227174019",4
"113","https://openalex.org/A1983171864","https://openalex.org/A2947385395",4
"114","https://openalex.org/A1998905604","https://openalex.org/A2122125958",4
"115","https://openalex.org/A1999153009","https://openalex.org/A2155571709",4
"116","https://openalex.org/A1999153009","https://openalex.org/A725025592",4
"117","https://openalex.org/A2000500885","https://openalex.org/A2063466544",4
"118","https://openalex.org/A2000500885","https://openalex.org/A2100846658",4
"119","https://openalex.org/A2000500885","https://openalex.org/A2149959337",4
"120","https://openalex.org/A2000500885","https://openalex.org/A2155504495",4
"121","https://openalex.org/A2000500885","https://openalex.org/A2426000207",4
"122","https://openalex.org/A2000500885","https://openalex.org/A2555859626",4
"123","https://openalex.org/A2000500885","https://openalex.org/A2658514251",4
"124","https://openalex.org/A2000500885","https://openalex.org/A2659810571",4
"125","https://openalex.org/A2000500885","https://openalex.org/A2720082273",4
"126","https://openalex.org/A2000500885","https://openalex.org/A2722547266",4
"127","https://openalex.org/A2000500885","https://openalex.org/A3022811396",4
"128","https://openalex.org/A2013044956","https://openalex.org/A2558224517",4
"129","https://openalex.org/A2026278282","https://openalex.org/A2106017715",4
"130","https://openalex.org/A2026278282","https://openalex.org/A2589655598",4
"131","https://openalex.org/A2046557135","https://openalex.org/A2139488455",4
"132","https://openalex.org/A205299237","https://openalex.org/A2704582080",4
"133","https://openalex.org/A205299237","https://openalex.org/A2704907097",4
"134","https://openalex.org/A2053723723","https://openalex.org/A2317904075",4
"135","https://openalex.org/A2053723723","https://openalex.org/A2335772791",4
"136","https://openalex.org/A2057728293","https://openalex.org/A2095035881",4
"137","https://openalex.org/A2057728293","https://openalex.org/A2636564521",4
"138","https://openalex.org/A2062024486","https://openalex.org/A283571327",4
"139","https://openalex.org/A2063466544","https://openalex.org/A2100846658",4
"140","https://openalex.org/A2063466544","https://openalex.org/A2149959337",4
"141","https://openalex.org/A2063466544","https://openalex.org/A2155504495",4
"142","https://openalex.org/A2063466544","https://openalex.org/A2426000207",4
"143","https://openalex.org/A2063466544","https://openalex.org/A2555859626",4
"144","https://openalex.org/A2063466544","https://openalex.org/A2658514251",4
"145","https://openalex.org/A2063466544","https://openalex.org/A2659810571",4
"146","https://openalex.org/A2063466544","https://openalex.org/A2720082273",4
"147","https://openalex.org/A2063466544","https://openalex.org/A2722547266",4
"148","https://openalex.org/A2063466544","https://openalex.org/A3022811396",4
"149","https://openalex.org/A2070295757","https://openalex.org/A2317756881",4
"150","https://openalex.org/A2095035881","https://openalex.org/A2636564521",4
"151","https://openalex.org/A2100846658","https://openalex.org/A2149959337",4
"152","https://openalex.org/A2100846658","https://openalex.org/A2155504495",4
"153","https://openalex.org/A2100846658","https://openalex.org/A2426000207",4
"154","https://openalex.org/A2100846658","https://openalex.org/A2555859626",4
"155","https://openalex.org/A2100846658","https://openalex.org/A2658514251",4
"156","https://openalex.org/A2100846658","https://openalex.org/A2659810571",4
"157","https://openalex.org/A2100846658","https://openalex.org/A2720082273",4
"158","https://openalex.org/A2100846658","https://openalex.org/A2722547266",4
"159","https://openalex.org/A2100846658","https://openalex.org/A3022811396",4
"160","https://openalex.org/A2103531143","https://openalex.org/A2649166696",4
"161","https://openalex.org/A2104163316","https://openalex.org/A217971954",4
"162","https://openalex.org/A2104676333","https://openalex.org/A349232819",4
"163","https://openalex.org/A2104766894","https://openalex.org/A2135174412",4
"164","https://openalex.org/A2104766894","https://openalex.org/A2167763661",4
"165","https://openalex.org/A2106920839","https://openalex.org/A2133191819",4
"166","https://openalex.org/A2106920839","https://openalex.org/A2144800361",4
"167","https://openalex.org/A2106920839","https://openalex.org/A2479126898",4
"168","https://openalex.org/A2106920839","https://openalex.org/A2498835007",4
"169","https://openalex.org/A2106920839","https://openalex.org/A2651538346",4
"170","https://openalex.org/A2106920839","https://openalex.org/A3024438825",4
"171","https://openalex.org/A2106920839","https://openalex.org/A308024061",4
"172","https://openalex.org/A2106920839","https://openalex.org/A3213035173",4
"173","https://openalex.org/A2112765159","https://openalex.org/A2135866016",4
"174","https://openalex.org/A2112765159","https://openalex.org/A2159313564",4
"175","https://openalex.org/A2122125958","https://openalex.org/A2156806390",4
"176","https://openalex.org/A2132342474","https://openalex.org/A2954916802",4
"177","https://openalex.org/A2133191819","https://openalex.org/A2144800361",4
"178","https://openalex.org/A2133191819","https://openalex.org/A2479126898",4
"179","https://openalex.org/A2133191819","https://openalex.org/A2498835007",4
"180","https://openalex.org/A2133191819","https://openalex.org/A2651538346",4
"181","https://openalex.org/A2133191819","https://openalex.org/A3024438825",4
"182","https://openalex.org/A2133191819","https://openalex.org/A308024061",4
"183","https://openalex.org/A2133191819","https://openalex.org/A3213035173",4
"184","https://openalex.org/A2135174412","https://openalex.org/A2167763661",4
"185","https://openalex.org/A2135866016","https://openalex.org/A2159313564",4
"186","https://openalex.org/A2136717732","https://openalex.org/A2141450323",4
"187","https://openalex.org/A2140083886","https://openalex.org/A2310131763",4
"188","https://openalex.org/A2140083886","https://openalex.org/A2530885690",4
"189","https://openalex.org/A2142476155","https://openalex.org/A2165244083",4
"190","https://openalex.org/A2144033837","https://openalex.org/A2809846773",4
"191","https://openalex.org/A2144800361","https://openalex.org/A2479126898",4
"192","https://openalex.org/A2144800361","https://openalex.org/A2498835007",4
"193","https://openalex.org/A2144800361","https://openalex.org/A2651538346",4
"194","https://openalex.org/A2144800361","https://openalex.org/A3024438825",4
"195","https://openalex.org/A2144800361","https://openalex.org/A308024061",4
"196","https://openalex.org/A2144800361","https://openalex.org/A3213035173",4
"197","https://openalex.org/A2149959337","https://openalex.org/A2155504495",4
"198","https://openalex.org/A2149959337","https://openalex.org/A2426000207",4
"199","https://openalex.org/A2149959337","https://openalex.org/A2658514251",4
"200","https://openalex.org/A2149959337","https://openalex.org/A2659810571",4
"201","https://openalex.org/A2149959337","https://openalex.org/A2720082273",4
