"Source","Target","weight"
"Argumentation","Argumentation",3452
"Punishment and responsibility","Punishment and responsibility",1100
"General jurisprudence","General jurisprudence",472
"Justice and fairness","Justice and fairness",470
"Justice and fairness","Global justice",328
"Global justice","Global justice",327
"Constitutionalism / Legal pluralism","Constitutionalism / Legal pluralism",263
"General jurisprudence","Constitutionalism / Legal pluralism",244
"General jurisprudence","Argumentation",222
"Justice and fairness","Law and political theory",186
"General jurisprudence","New theories / Reinterpretations",159
"Private law / Legal realism and descendants","Private law / Legal realism and descendants",156
"Expert systems","Expert systems",142
"General jurisprudence","Justice and fairness",130
"General jurisprudence","Private law / Legal realism and descendants",112
"General jurisprudence","Natural law and non-positivism",87
"General jurisprudence","Global justice",80
"Criminal law","Criminal law",79
"Expert systems","Argumentation",79
"Private law / Legal realism and descendants","Constitutionalism / Legal pluralism",79
"Argumentation","Expert systems",78
"Criminal law","Punishment and responsibility",76
"Justice and fairness","Punishment and responsibility",68
"Punishment and responsibility","Law and political theory",65
"Global justice","Justice and fairness",64
"International (criminal) law","International (criminal) law",62
"Argumentation","Constitutionalism / Legal pluralism",58
"Justice and fairness","General jurisprudence",55
"Private law / Legal realism and descendants","General jurisprudence",55
"Constitutionalism / Legal pluralism","Global justice",54
"General jurisprudence","Law and political theory",54
"Legal epistemology","Legal epistemology",54
"Natural law and non-positivism","Natural law and non-positivism",54
"General jurisprudence","Punishment and responsibility",53
"Private law / Legal realism and descendants","Justice and fairness",51
"Law and political theory","Global justice",50
"General jurisprudence","International (criminal) law",46
"Private law / Legal realism and descendants","Argumentation",46
"Constitutionalism / Legal pluralism","Law and political theory",45
"Global justice","Law and political theory",45
"Private law / Legal realism and descendants","Punishment and responsibility",41
"General jurisprudence","Expert systems",38
"Constitutionalism / Legal pluralism","Private law / Legal realism and descendants",32
"Justice and fairness","Constitutionalism / Legal pluralism",32
"Private law / Legal realism and descendants","Global justice",32
"Punishment and responsibility","Justice and fairness",32
"Punishment and responsibility","Private law / Legal realism and descendants",31
"Constitutionalism / Legal pluralism","Justice and fairness",30
"Law and political theory","Justice and fairness",30
"Constitutionalism / Legal pluralism","International (criminal) law",28
"Law and political theory","Law and political theory",28
"Constitutionalism / Legal pluralism","Argumentation",25
"Justice and fairness","New theories / Reinterpretations",25
"Punishment and responsibility","Criminal law",24
"Punishment and responsibility","International (criminal) law",24
"Constitutionalism / Legal pluralism","General jurisprudence",22
"International (criminal) law","Global justice",22
"Natural law and non-positivism","New theories / Reinterpretations",20
"New theories / Reinterpretations","General jurisprudence",20
"Natural law and non-positivism","General jurisprudence",19
"Punishment and responsibility","Global justice",19
"Justice and fairness","Private law / Legal realism and descendants",18
"Promising / Reasonableness","Promising / Reasonableness",18
"Corporate personhood","Corporate personhood",17
"New theories / Reinterpretations","New theories / Reinterpretations",17
"Global justice","International (criminal) law",16
"International (criminal) law","Punishment and responsibility",16
"Private law / Legal realism and descendants","Law and political theory",15
"Private law / Legal realism and descendants","New theories / Reinterpretations",15
"Argumentation","Private law / Legal realism and descendants",14
"Global justice","Constitutionalism / Legal pluralism",14
"Justice and fairness","Promising / Reasonableness",14
"Law and political theory","Constitutionalism / Legal pluralism",14
