"id","publication_year","first_author","display_name","Label"
"https://openalex.org/W1022946631","1983","John Hart Ely","Democracy and Distrust","Ely, 1983"
"https://openalex.org/W104357497","1996","Scott Brewer","Exemplary Reasoning: Semantics, Pragmatics, and the Rational Force of Legal Argument by Analogy","Brewer, 1996"
"https://openalex.org/W105723337","2002","Ronald Dworkin","Thirty Years on","Dworkin, 2002"
"https://openalex.org/W107842537","2010","Jonathan Quong","Liberalism without Perfection","Quong, 2010"
"https://openalex.org/W109677913","2006","Jeremy Waldron","The Core of the Case against Judicial Review","Waldron, 2006"
"https://openalex.org/W117217249","1974","Edward B. Arnolds","The Defense of Necessity in Criminal Law: The Right to Choose the Lesser Evil","Arnolds, 1974"
"https://openalex.org/W121887062","1992","Randy E. Barnett","The Sound of Silence: Default Rules and Contractual Consent","Barnett, 1992"
"https://openalex.org/W12585591","1958","Hart","The Aims of the Criminal Law","Hart, 1958"
"https://openalex.org/W127338104","1999","Bernard E. Harcourt","The Collapse of the Harm Principle","Harcourt, 1999"
"https://openalex.org/W136591480","1996","Jeremy Waldron","Kant's Legal Positivism","Waldron, 1996"
"https://openalex.org/W138458895","1949","Lon L. Fuller","The Case of the Speluncean Explorers","Fuller, 1949"
"https://openalex.org/W1450459739","1991","Michael T. Hartney","Some Confusions Concerning Collective Rights","Hartney, 1991"
"https://openalex.org/W1469191350","1992","Larry Alexander","What Makes Wrongful Discrimination Wrong? Biases, Preferences, Stereotypes, and Proxies","Alexander, 1992"
"https://openalex.org/W1483374326","2000",NA,"Sovereign virtue: the theory and practice of equality","NA, 2000"
"https://openalex.org/W1485501857","1934","Hans Kelsen","Pure Theory of Law","Kelsen, 1934"
"https://openalex.org/W1485874378","1995","Ernest J. Weinrib","The Idea of Private Law","Weinrib, 1995"
"https://openalex.org/W1488611786","1984","Ronald Dworkin","Los derechos en serio","Dworkin, 1984"
"https://openalex.org/W1489372415","1968","H. L. A. Hart","Punishment and responsibility","Hart, 1968"
"https://openalex.org/W1490967561","1980","Anthony T. Kronman","Contract Law and Distributive Justice","Kronman, 1980"
"https://openalex.org/W1495885934","2010","Sophia Moreau","What Is Discrimination?","Moreau, 2010"
"https://openalex.org/W1497647472","2005","Nicola Lacey","PUNISHMENT, COMMUNICATION AND COMMUNITY","Lacey, 2005"
"https://openalex.org/W1499476502","2001","T. R. S. Allan","Constitutional Justice: A Liberal Theory of the Rule of Law","Allan, 2001"
"https://openalex.org/W1502108759","2000","Mark Tushnet","Taking the Constitution Away from the Courts","Tushnet, 2000"
"https://openalex.org/W1503906844","2009","Andrew Altman","A Liberal Theory of International Justice","Altman, 2009"
"https://openalex.org/W1504060166","1881","Oliver Wendell Holmes","The Common Law","Holmes, 1881"
"https://openalex.org/W1504314083","2003","Claire Oakes Finkelstein","Is Risk a Harm?","Finkelstein, 2003"
"https://openalex.org/W1504374584","2008","Joseph Raz","Can There be a Theory of Law?","Raz, 2008"
"https://openalex.org/W1506104239","2004","John Collins","Causation and Counterfactuals","Collins, 2004"
"https://openalex.org/W1506680948","2005","Terence Anderson","Analysis of Evidence","Anderson, 2005"
"https://openalex.org/W1512084092","2009","Jeff McMahan","INTENTION, PERMISSIBILITY, TERRORISM, AND WAR","Mahan, 2009"
"https://openalex.org/W1514428340","1999","Michael E. Bratman","Faces of Intention","Bratman, 1999"
"https://openalex.org/W1514637386","1997","Henry Prakken","Logical Tools for Modelling Legal Argument","Prakken, 1997"
"https://openalex.org/W1518929111","2004","Jules L. Coleman","The Oxford Handbook of Jurisprudence and Philosophy of Law","Coleman, 2004"
"https://openalex.org/W1519668286","1981","Carlos E. Alchourrón","The Expressive Conception of Norms","NA, 1981"
"https://openalex.org/W1520467851","2011","Dana Kay Nelkin","Making Sense of Freedom and Responsibility","Nelkin, 2011"
"https://openalex.org/W1522342316","2002","Robert Alexy","A Theory of Constitutional Rights","Alexy, 2002"
"https://openalex.org/W1523838136","2019","Gerald J. Postema","Bentham and the Common Law Tradition","Postema, 2019"
"https://openalex.org/W1524162620","2009","Bardo Fassbender","The United Nations Charter as the Constitution of the International Community","Fassbender, 2009"
"https://openalex.org/W1527018558","2001","Jules L. Coleman","The Practice of Principle: In Defence of a Pragmatist Approach to Legal Theory","Coleman, 2001"
"https://openalex.org/W1528399442","2012","Patrick Tomlin","Extending the Golden Thread? Criminalisation and the Presumption of Innocence*","Tomlin, 2012"
"https://openalex.org/W1529277309","1983","H. L. A. Hart","Essays in Jurisprudence and Philosophy","Hart, 1983"
"https://openalex.org/W1533067089","2004","Martin P. Golding","The Blackwell Guide to the Philosophy of Law and Legal Theory","Golding, 2004"
"https://openalex.org/W1533150963","2004","Crawford L. Elder","Real Natures and Familiar Objects","Elder, 2004"
"https://openalex.org/W1536162307","2002","Stanley L. Paulson","The argument from injustice : a reply to legal positivism","Paulson, 2002"
"https://openalex.org/W1539274691","1996",NA,"Freedom's law: the moral reading of the American Constitution","NA, 1996"
"https://openalex.org/W1539454026","2004","Gideon Rosen","Skepticism about Moral Responsibility","Rosen, 2004"
"https://openalex.org/W1540195487","2002","Michael J. Zimmerman","Taking Luck Seriously","Zimmerman, 2002"
"https://openalex.org/W1541703906","2001","Derk Pereboom","Living without Free Will","Pereboom, 2001"
"https://openalex.org/W1544949079","1999","Jeremy Waldron","The dignity of legislation","Waldron, 1999"
"https://openalex.org/W1547717991","1994","Jeremy Waldron","Vagueness in Law and Language: Some Philosophical Issues","Waldron, 1994"
"https://openalex.org/W1547775889","2014","Daniel Viehoff","Democratic Equality and Political Authority","Viehoff, 2014"
"https://openalex.org/W1547788921","1961","Guido Calabresi","Some Thoughts on Risk Distribution and the Law of Torts","Calabresi, 1961"
"https://openalex.org/W1548654059","1994","Andrew von Hirsch","Censure and sanctions","Hirsch, 1994"
"https://openalex.org/W1550427443","1991","Christopher W. Morris","Punishment and Loss of Moral Standing","Morris, 1991"
"https://openalex.org/W1557385649","1917","Wesley Newcomb Hohfeld","Fundamental Legal Conceptions as Applied in Judicial Reasoning","Hohfeld, 1917"
"https://openalex.org/W1558461042","2005","Andrei Marmor","Interpretation and Legal Theory","Marmor, 2005"
"https://openalex.org/W1560170356","2001","Richard Fumerton","Causation and the Law: Preemption, Lawful Sufficiency, and Causal Sufficiency","Fumerton, 2001"
"https://openalex.org/W1563041628","1975","Guido Calabresi","Concerning Cause and the Law of Torts: An Essay for Harry Kalven, Jr.","Calabresi, 1975"
"https://openalex.org/W1563201617","1959","Alf Ross","On law and justice","Ross, 1959"
"https://openalex.org/W1563715884","2007","Wilfrid J. Waluchow","A common law theory of judicial review: the living tree","Waluchow, 2007"
"https://openalex.org/W1564062619","1989","Robert Alexy","A Theory of Legal Argumentation: The Theory of Rational Discourse as Theory of Legal Justification","Alexy, 1989"
"https://openalex.org/W1565174900","1991","Hans Kelsen","General Theory of Norms","Kelsen, 1991"
"https://openalex.org/W1568392343","1999","Matthew H. Kramer","In Defense of Legal Positivism: Law without Trimmings","Kramer, 1999"
