Id,Label,publication_year,first_author,display_name,modularity_class,eigencentrality,cluster_label,betweenness
https://openalex.org/W1022946631,"Ely, 1983",1983,John Hart Ely,Democracy and Distrust,0,0.124999,Judicial review and constitutional rights,0
https://openalex.org/W104357497,"Brewer, 1996",1996,Scott Brewer,"Exemplary Reasoning: Semantics, Pragmatics, and the Rational Force of Legal Argument by Analogy",3,0.10629,Legal reasoning,702
https://openalex.org/W105723337,"Dworkin, 2002",2002,Ronald Dworkin,Thirty Years on,5,0.080531,General jurisprudence,0
https://openalex.org/W107842537,"Quong, 2010",2010,Jonathan Quong,Liberalism without Perfection,4,0.110704,Law and political theory,0
https://openalex.org/W109677913,"Waldron, 2006",2006,Jeremy Waldron,The Core of the Case against Judicial Review,0,0.372548,Judicial review and constitutional rights,2192
https://openalex.org/W117217249,"Arnolds, 1974",1974,Edward B. Arnolds,The Defense of Necessity in Criminal Law: The Right to Choose the Lesser Evil,20,0.017253,Justifications and excuses,0
https://openalex.org/W121887062,"Barnett, 1992",1992,Randy E. Barnett,The Sound of Silence: Default Rules and Contractual Consent,9,0.00536,Theory of rights,0
https://openalex.org/W12585591,"Hart, 1958",1958,Hart,The Aims of the Criminal Law,15,0.00603,Punishment,0
https://openalex.org/W127338104,"Harcourt, 1999",1999,Bernard E. Harcourt,The Collapse of the Harm Principle,4,0.007676,Law and political theory,711
https://openalex.org/W136591480,"Waldron, 1996",1996,Jeremy Waldron,Kant's Legal Positivism,4,0.054928,Law and political theory,0
https://openalex.org/W138458895,"Fuller, 1949",1949,Lon L. Fuller,The Case of the Speluncean Explorers,20,0.0294,Justifications and excuses,0
https://openalex.org/W1450459739,"Hartney, 1991",1991,Michael T. Hartney,Some Confusions Concerning Collective Rights,4,0.028364,Law and political theory,0
https://openalex.org/W1469191350,"Alexander, 1992",1992,Larry Alexander,"What Makes Wrongful Discrimination Wrong? Biases, Preferences, Stereotypes, and Proxies",2,0.006733,Responsibility,0
https://openalex.org/W1483374326,"NA, 2000",2000,NA,Sovereign virtue: the theory and practice of equality,4,0.239273,Law and political theory,110
https://openalex.org/W1485501857,"Kelsen, 1934",1934,Hans Kelsen,Pure Theory of Law,5,0.471625,General jurisprudence,2244
https://openalex.org/W1485874378,"Weinrib, 1995",1995,Ernest J. Weinrib,The Idea of Private Law,5,0.214769,General jurisprudence,0
https://openalex.org/W1488611786,"Dworkin, 1984",1984,Ronald Dworkin,Los derechos en serio,1,0.01881,NA,0
https://openalex.org/W1489372415,"Hart, 1968",1968,H. L. A. Hart,Punishment and responsibility,15,0.326378,Punishment,11894
https://openalex.org/W1490967561,"Kronman, 1980",1980,Anthony T. Kronman,Contract Law and Distributive Justice,9,0.032298,Theory of rights,0
https://openalex.org/W1495885934,"Moreau, 2010",2010,Sophia Moreau,What Is Discrimination?,2,0.005148,Responsibility,0
https://openalex.org/W1497647472,"Lacey, 2005",2005,Nicola Lacey,"PUNISHMENT, COMMUNICATION AND COMMUNITY",15,0.132905,Punishment,0
https://openalex.org/W1499476502,"Allan, 2001",2001,T. R. S. Allan,Constitutional Justice: A Liberal Theory of the Rule of Law,0,0.225998,Judicial review and constitutional rights,0
https://openalex.org/W1502108759,"Tushnet, 2000",2000,Mark Tushnet,Taking the Constitution Away from the Courts,0,0.24212,Judicial review and constitutional rights,711
https://openalex.org/W1503906844,"Altman, 2009",2009,Andrew Altman,A Liberal Theory of International Justice,4,0.032725,Law and political theory,0
https://openalex.org/W1504060166,"Holmes, 1881",1881,Oliver Wendell Holmes,The Common Law,5,0.298444,General jurisprudence,2
https://openalex.org/W1504314083,"Finkelstein, 2003",2003,Claire Oakes Finkelstein,Is Risk a Harm?,16,0.001355,Risk and prevention in criminal law,1425
https://openalex.org/W1504374584,"Raz, 2008",2008,Joseph Raz,Can There be a Theory of Law?,5,0.040532,General jurisprudence,0
https://openalex.org/W1506104239,"Collins, 2004",2004,John Collins,Causation and Counterfactuals,19,0.009404,Torts / causation,0
https://openalex.org/W1506680948,"Anderson, 2005",2005,Terence Anderson,Analysis of Evidence,10,0.001547,Evidence and proof,0
https://openalex.org/W1512084092,"Mahan, 2009",2009,Jeff McMahan,"INTENTION, PERMISSIBILITY, TERRORISM, AND WAR",8,0.0133,War and killing,1407
https://openalex.org/W1514428340,"Bratman, 1999",1999,Michael E. Bratman,Faces of Intention,19,0.137213,Torts / causation,3677
https://openalex.org/W1514637386,"Prakken, 1997",1997,Henry Prakken,Logical Tools for Modelling Legal Argument,3,0.039704,Legal reasoning,385
https://openalex.org/W1518929111,"Coleman, 2004",2004,Jules L. Coleman,The Oxford Handbook of Jurisprudence and Philosophy of Law,5,0.14047,General jurisprudence,0
https://openalex.org/W1519668286,"NA, 1981",1981,Carlos E. Alchourrón,The Expressive Conception of Norms,3,0.028614,Legal reasoning,0
https://openalex.org/W1520467851,"Nelkin, 2011",2011,Dana Kay Nelkin,Making Sense of Freedom and Responsibility,2,0.042737,Responsibility,1
https://openalex.org/W1522342316,"Alexy, 2002",2002,Robert Alexy,A Theory of Constitutional Rights,0,0.264512,Judicial review and constitutional rights,703
https://openalex.org/W1523838136,"Postema, 2019",2019,Gerald J. Postema,Bentham and the Common Law Tradition,5,0.234988,General jurisprudence,0
https://openalex.org/W1524162620,"Fassbender, 2009",2009,Bardo Fassbender,The United Nations Charter as the Constitution of the International Community,12,0.029046,International law,0
https://openalex.org/W1527018558,"Coleman, 2001",2001,Jules L. Coleman,The Practice of Principle: In Defence of a Pragmatist Approach to Legal Theory,5,0.422033,General jurisprudence,0
https://openalex.org/W1528399442,"Tomlin, 2012",2012,Patrick Tomlin,Extending the Golden Thread? Criminalisation and the Presumption of Innocence*,10,6.06e-4,Evidence and proof,0
https://openalex.org/W1529277309,"Hart, 1983",1983,H. L. A. Hart,Essays in Jurisprudence and Philosophy,5,0.492066,General jurisprudence,0
https://openalex.org/W1533067089,"Golding, 2004",2004,Martin P. Golding,The Blackwell Guide to the Philosophy of Law and Legal Theory,5,0.095231,General jurisprudence,0
https://openalex.org/W1533150963,"Elder, 2004",2004,Crawford L. Elder,Real Natures and Familiar Objects,17,0.002491,Natural law,0
https://openalex.org/W1536162307,"Paulson, 2002",2002,Stanley L. Paulson,The argument from injustice : a reply to legal positivism,5,0.090215,General jurisprudence,0
