"","work","title","year","first_author","issn","name"
"1","https://openalex.org/W2479690201","Subsumtion und Abwägung","1998-01-01","https://openalex.org/A2684228007",NA,"ARSP. Archiv. für Rechts- und Sozialphilosophie"
"2","https://openalex.org/W2042845546","Fallibilismus versus transzendentalpragmatische Letztbegründung","1983-09-01","https://openalex.org/A2989450394","0925-4560","Journal for General Philosophy of Science"
"3","https://openalex.org/W1999439266","A Discourse-Theoretical Conception of Practical Reason","1992-12-01","https://openalex.org/A2599194942","0952-1917","Ratio Juris"
"4","https://openalex.org/W2320040214","Transcendental Arguments and Moral Principles","1975-01-01","https://openalex.org/A2664264283","0031-8094","The Philosophical Quarterly"
"5","https://openalex.org/W40724842","Reflexive Letztbegründung versus radikaler Fallibilismus","1985-09-01","https://openalex.org/A2696101099","0925-4560","Journal for General Philosophy of Science"
"6","https://openalex.org/W2061713190","Discourse Ethics and the Legitimacy of Law","1989-07-01","https://openalex.org/A2603082013","0952-1917","Ratio Juris"
"7","https://openalex.org/W3205490937","Wie ist Legitimität durch Legalität möglich","1987-01-31","https://openalex.org/A2038147313","0023-4834","Kritische Justiz"
"8","https://openalex.org/W186611182","Responsibility, Compensation and Accident Law Reform","2007-01-01","https://openalex.org/A2037515490",NA,NA
"9","https://openalex.org/W2042664336","Précis of Responsibility and the Moral Sentiments","2002-05-01","https://openalex.org/A2114743869","0031-8205","Philosophy and Phenomenological Research"
"10","https://openalex.org/W2029030105","Between madness and death: the medicate-to-execute controversy.","2003-06-01","https://openalex.org/A2320193781","0731-129X","Criminal Justice Ethics"
"11","https://openalex.org/W2481591780","Moral and legal responsibility and the new neuroscience","2004-04-08","https://openalex.org/A2115115001",NA,NA
"12","https://openalex.org/W2167407679","Brain development during puberty: state of the science.","2006-01-01","https://openalex.org/A2197599261","1363-755X","Developmental Science"
"13","https://openalex.org/W2481001127","Two Faces of Responsibility1","2004-07-15","https://openalex.org/A2497335613",NA,NA
"14","https://openalex.org/W1973312576","Individualizing the Reasonable Person in Criminal Law","2008-06-01","https://openalex.org/A2073826939","1871-9791","Criminal Law and Philosophy"
"15","https://openalex.org/W3125410249","What do you mean I should take responsibility for my own ill health","2009-01-01","https://openalex.org/A2037515490",NA,"Journal of Applied Ethics and Philosophy"
"16","https://openalex.org/W2504634764","Two Concepts of Responsibility","2007-11-01","https://openalex.org/A2951049974",NA,NA
"17","https://openalex.org/W1685152655","The Ethical Brain","2005-04-29","https://openalex.org/A1256561705",NA,NA
"18","https://openalex.org/W2467219279","Hardwired Behavior: The Bad and the Mad","2005-01-01","https://openalex.org/A2466774177",NA,NA
"19","https://openalex.org/W3122904344","Responsibility: distinguishing virtue from capacity","2009-04-01","https://openalex.org/A2037515490","1897-1652","Polish Journal of Philosophy"
"20","https://openalex.org/W1994231675","Responsibility as a Virtue.","2008-03-13","https://openalex.org/A2151302714","1386-2820","Ethical Theory and Moral Practice"
"21","https://openalex.org/W2155487786","Exploring the similarities and differences between medical assessments of competence and criminal responsibility.","2009-06-11","https://openalex.org/A1958028339","1386-7423","Medicine Health Care and Philosophy"
"22","https://openalex.org/W2054363744","Psychopathy Without (the Language of) Disorder","2008-05-22","https://openalex.org/A2141672830","1874-5490","Neuroethics"
"23","https://openalex.org/W2067183913","Neuroimaging as evidence.","2007-09-11","https://openalex.org/A2075380946","1526-5161","American Journal of Bioethics"
"24","https://openalex.org/W2099908396","The seductive allure of neuroscience explanations","2008-03-01","https://openalex.org/A2148238947","0898-929X","Journal of Cognitive Neuroscience"
"25","https://openalex.org/W2501089920","Facts, fictions and the future of neuroethics","2004-04-08","https://openalex.org/A3211379441",NA,NA
"26","https://openalex.org/W1578675214","Routledge Encyclopedia of Philosophy","1998-01-01","https://openalex.org/A2991761024",NA,NA
"27","https://openalex.org/W1568809335","Opinion: the neural basis of human moral cognition.","2005-10-01","https://openalex.org/A2260986523","1471-003X","Nature Reviews Neuroscience"
"28","https://openalex.org/W2119659537","How (and where) does moral judgment work","2002-12-01","https://openalex.org/A2122849578","1364-6613","Trends in Cognitive Sciences"
"29","https://openalex.org/W166413139","Homicidal somnambulism: a case report","1994-04-01","https://openalex.org/A2105775189","0161-8105","Sleep"
"30","https://openalex.org/W3124066760","Functional Neuroimaging and the Law: Trends and Directions for Future Scholarship","2007-09-11","https://openalex.org/A48032191","1526-5161","American Journal of Bioethics"
"31","https://openalex.org/W656263303","The mental basis of responsibility","2002-01-01","https://openalex.org/A201214258",NA,NA
"32","https://openalex.org/W2123791568","The emotional dog and its rational tail: a social intuitionist approach to moral judgment.","2001-01-01","https://openalex.org/A787330303","0033-295X","Psychological Review"
"33","https://openalex.org/W2316269426","On Being Kesponsible","1978-01-01","https://openalex.org/A2572076964","0031-8094","The Philosophical Quarterly"
"34","https://openalex.org/W2137209613","Two Faces of Responsibility","1996-10-01","https://openalex.org/A2504351993","0276-2080","Philosophical Topics"
"35","https://openalex.org/W1991616194","Space, time and function: intersecting principles of responsibility across the terrain of criminal justice","2007-02-02","https://openalex.org/A2014831855","1871-9791","Criminal Law and Philosophy"
"36","https://openalex.org/W3124499752","Law, evolution and the brain: applications and open questions.","2004-11-29","https://openalex.org/A2162997860","0962-8436","Philosophical Transactions of the Royal Society B"
"37","https://openalex.org/W192858286","Using brain MERMER testing to detect knowledge despite efforts to conceal.","2001-01-01","https://openalex.org/A2987254452","0022-1198","Journal of Forensic Sciences"
"38","https://openalex.org/W951999231","Making sense of humanity: Voluntary acts and responsible agents","1995-01-01","https://openalex.org/A2476714517",NA,NA
"39","https://openalex.org/W2021537031","Voluntary Acts and Responsible Agents","1990-03-01","https://openalex.org/A2162099207","0143-6503","Oxford Journal of Legal Studies"
"40","https://openalex.org/W2144069415","Right orbitofrontal tumor with pedophilia symptom and constructional apraxia sign.","2003-03-01","https://openalex.org/A2105268076","2168-6149","JAMA Neurology"
"41","https://openalex.org/W384331506","On Being Responsible","1992-01-01","https://openalex.org/A2112978975",NA,NA
"42","https://openalex.org/W2486308197","POSTSCRIPT: RESPONSIBILITY AND RETRIBUTION","2008-03-06","https://openalex.org/A2471693670",NA,NA
"43","https://openalex.org/W3124017665","Pain detection and the privacy of subjective experience.","2007-01-01","https://openalex.org/A2181425537","0098-8588","American Journal of Law & Medicine"
"44","https://openalex.org/W2120731293","Dynamic mapping of human cortical development during childhood through early adulthood","2004-05-25","https://openalex.org/A1994957518","0027-8424","Proceedings of the National Academy of Sciences of the United States of America"
"45","https://openalex.org/W2911415259","Sua Culpa","1985-01-24","https://openalex.org/A2913761205",NA,"Ethical issues in the use of computers"
"46","https://openalex.org/W63097189","Problems of the Self: Morality and the emotions","1973-06-01","https://openalex.org/A2607839804",NA,NA
"47","https://openalex.org/W2133924081","The Good, the Bad and the Blameworthy","2017-06-01","https://openalex.org/A2098755352","1559-3061","Journal of Ethics & Social Philosophy"
"48","https://openalex.org/W1575910362","The perception–behavior expressway: Automatic effects of social perception on social behavior.","2001-01-01","https://openalex.org/A1526559959","0065-2601","Advances in Experimental Social Psychology"
"49","https://openalex.org/W1982424145","Freedom within Reason","1990-01-01","https://openalex.org/A2523634249",NA,NA
"50","https://openalex.org/W53209862","The ""Prospective View"" of Obligation","2017-06-07","https://openalex.org/A2411128583","1559-3061","Journal of Ethics & Social Philosophy"
"51","https://openalex.org/W202868169","Bypassing the Will: Toward Demystifying the Nonconscious Control of Social Behavior","2006-08-24","https://openalex.org/A1759009247",NA,NA
"52","https://openalex.org/W48352839","""Compensatory Automaticity: Unconscious volition is not an oxymoron""","2005-01-01","https://openalex.org/A2343209698",NA,NA
"53","https://openalex.org/W2150947790","The new unconscious.","2006-08-24","https://openalex.org/A2021745427",NA,NA
"54","https://openalex.org/W155824051","Alief and Belief","2008-10-01","https://openalex.org/A2609356961","0022-362X","The Journal of Philosophy"
"55","https://openalex.org/W2072667907","Varieties of Moral Worth and Moral Credit","1991-01-01","https://openalex.org/A2411128583","0014-1704","Ethics"
"56","https://openalex.org/W2070417514","The importance of what we care about","1988-01-01","https://openalex.org/A2502815094",NA,NA
"57","https://openalex.org/W2071486328","Theory of Human Action","1970-01-01","https://openalex.org/A2161653542",NA,NA
"58","https://openalex.org/W636487749","Good and Evil","1984-02-01","https://openalex.org/A2117146908",NA,NA
"59","https://openalex.org/W1565173154","The Methods of Ethics","1874-01-01","https://openalex.org/A2501585190",NA,NA
"60","https://openalex.org/W2098676269","The chameleon effect: The perception–behavior link and social interaction.","1999-06-01","https://openalex.org/A262859687","0022-3514","Journal of Personality and Social Psychology"
"61","https://openalex.org/W2140666642","Living with Uncertainty Temporomandibular Disorders","2010-04-16","https://openalex.org/A2106314907","0022-0345","Journal of Dental Research"
"62","https://openalex.org/W1556633745","Agency and responsibility","2001-01-01","https://openalex.org/A2128202122",NA,NA
"63","https://openalex.org/W2167644634","What We Owe to Each Other","1998-01-01","https://openalex.org/A2899272028",NA,NA
"64","https://openalex.org/W1670538066","In two minds: Dual processes and beyond.","2009-01-29","https://openalex.org/A2140527241",NA,"Critica"
"65","https://openalex.org/W2001594127","Responsibility for believing","2008-04-01","https://openalex.org/A1703119470","0039-7857","Synthese"
"66","https://openalex.org/W980947564","The Glimpsed World: Unintended Communication and Unintended Perception","2005-01-01","https://openalex.org/A2099202923",NA,NA
"67","https://openalex.org/W2104279676","Responsibility and the moral sentiments","1996-07-01","https://openalex.org/A2810596676","0022-362X","The Journal of Philosophy"
"68","https://openalex.org/W2129045397","Varieties of Social Cognition","2008-09-01","https://openalex.org/A2022025971","0021-8308","Journal for The Theory of Social Behaviour"
"69","https://openalex.org/W617592293","The American Law Institute","1923-11-01","https://openalex.org/A2487118000","0041-9907","University of Pennsylvania Law Review"
"70","https://openalex.org/W2034719434","Book Reviews : Harold Fallding, The Sociological Task : A Concise Introduction to the Main Issues in Sociological Theory and Method. Englewood Cliffs, New Jersey: Prentice-Hall, Inc., 1958","1970-03-01","https://openalex.org/A2503236149","0020-7152","International Journal of Comparative Sociology"
"71","https://openalex.org/W2112420339","Morality and the emotions","1992-01-01","https://openalex.org/A2060304452",NA,NA
"72","https://openalex.org/W179410770","Problems of the Self","1973-06-29","https://openalex.org/A2162099207",NA,NA
"73","https://openalex.org/W2039755653","Control, responsibility, and moral assessment","2008-04-01","https://openalex.org/A2138488130","0031-8116","Philosophical Studies"
"74","https://openalex.org/W1772604273","Incivilities: Regulating Offensive Behaviour, by Andrew von Hirsch and A.P. Simester (eds.)","2006-01-01","https://openalex.org/A1967824303",NA,"British Society of Criminology Book Reviews"
"75","https://openalex.org/W2084278074","A Tale of Two Theories","2009-05-20","https://openalex.org/A2104163316","0731-129X","Criminal Justice Ethics"
"76","https://openalex.org/W3124211897","Necessity and Jury Nullification","2007-07-01","https://openalex.org/A3132835884","0841-8209","The Canadian Journal of Law and Jurisprudence"
"77","https://openalex.org/W630603258","Criminalization as Last Resort (Ultima Ratio)","2005-01-01","https://openalex.org/A2658473897",NA,"Ohio State Journal of Criminal Law"
"78","https://openalex.org/W1566078948","Report on the Relationship between Judges and Prosecutors. Working Party of the Consultative Council of European Judges","2009-01-01","https://openalex.org/A2305421085",NA,NA
"79","https://openalex.org/W1491739137","The Role of the Cyprus Attorney General's Office in Prosecutions: Rhetoric, Ideology and Practice","2009-10-06","https://openalex.org/A1696721213",NA,NA
"80","https://openalex.org/W1511548837","Retributive Justice and the Demands of Democratic Citizenship","2012-03-16","https://openalex.org/A1936082366",NA,"Social Science Research Network"
"81","https://openalex.org/W2483734481","Malum Prohibitum and Retributivism","2005-08-25","https://openalex.org/A1980035151",NA,NA
