"","issn","tilte","code","area"
"1","0302-9743","Lecture Notes in Computer Science","2614","Theoretical Computer Science"
"2","0302-9743","Lecture Notes in Computer Science","1700","Computer Science (all)"
"3","0167-4544","Journal of Business Ethics","1403","Business and International Management"
"4","0167-4544","Journal of Business Ethics","1400","Business, Management and Accounting (all)"
"5","0167-4544","Journal of Business Ethics","1201","Arts and Humanities (miscellaneous)"
"6","0167-4544","Journal of Business Ethics","2002","Economics and Econometrics"
"7","0167-4544","Journal of Business Ethics","3308","Law"
"8","0031-8116","Philosophical Studies","1211","Philosophy"
"9","1369-8230","Critical Review of International Social and Political Philosophy","1211","Philosophy"
"10","1369-8230","Critical Review of International Social and Political Philosophy","3312","Sociology and Political Science"
"11","1386-2820","Ethical Theory and Moral Practice","3301","Social Sciences (miscellaneous)"
"12","1386-2820","Ethical Theory and Moral Practice","1211","Philosophy"
"13","0897-6546","Law and Social Inquiry","3300","Social Sciences (all)"
"14","0897-6546","Law and Social Inquiry","3308","Law"
"15","1572-4395",NA,NA,NA
"16","0952-1917","Ratio Juris","3308","Law"
"17","0023-9216","Law and Society Review","3312","Sociology and Political Science"
"18","0023-9216","Law and Society Review","3308","Law"
"19","0841-8209","Canadian Journal of Law and Jurisprudence","3308","Law"
"20","1356-4765","Res Publica","1211","Philosophy"
"21","1356-4765","Res Publica","3308","Law"
"22","0306-6800","Journal of Medical Ethics","3306","Health (social science)"
"23","0306-6800","Journal of Medical Ethics","2910","Issues, Ethics and Legal Aspects"
"24","0306-6800","Journal of Medical Ethics","1201","Arts and Humanities (miscellaneous)"
"25","0306-6800","Journal of Medical Ethics","2719","Health Policy"
"26","0952-8059","International Journal for the Semiotics of Law","1203","Language and Linguistics"
"27","0952-8059","International Journal for the Semiotics of Law","3308","Law"
"28","0039-7857","Synthese","1211","Philosophy"
"29","0039-7857","Synthese","3300","Social Sciences (all)"
"30","1871-9791","Criminal Law and Philosophy","1211","Philosophy"
"31","1871-9791","Criminal Law and Philosophy","3308","Law"
"32","0003-0554","American Political Science Review","3312","Sociology and Political Science"
"33","0003-0554","American Political Science Review","3320","Political Science and International Relations"
"34","0261-3875","Legal Studies","3308","Law"
"35","0920-427X","Argumentation","1211","Philosophy"
"36","0920-427X","Argumentation","3310","Linguistics and Language"
"37","0042-0220","University of Toronto Law Journal","3312","Sociology and Political Science"
"38","0042-0220","University of Toronto Law Journal","3308","Law"
"39","0953-8208","Utilitas","1211","Philosophy"
"40","0953-8208","Utilitas","3312","Sociology and Political Science"
"41","0021-2237","Israel Law Review","3308","Law"
"42","0045-5091","Canadian Journal of Philosophy","1211","Philosophy"
"43","0032-3217","Political Studies","3312","Sociology and Political Science"
"44","0924-8463","Artificial Intelligence and Law","3308","Law"
"45","0924-8463","Artificial Intelligence and Law","1702","Artificial Intelligence"
"46","1052-150X","Business Ethics Quarterly","1400","Business, Management and Accounting (all)"
"47","1052-150X","Business Ethics Quarterly","1211","Philosophy"
"48","1052-150X","Business Ethics Quarterly","2002","Economics and Econometrics"
"49","0034-6705","Review of Politics","3312","Sociology and Political Science"
"50","0034-6705","Review of Politics","3320","Political Science and International Relations"
"51","0964-6639","Social and Legal Studies","3312","Sociology and Political Science"
"52","0964-6639","Social and Legal Studies","3300","Social Sciences (all)"
"53","0964-6639","Social and Legal Studies","3308","Law"
"54","1744-5523","International Journal of Law in Context","3308","Law"
"55","2071-8322","German Law Journal","3308","Law"
"56","0140-525X","Behavioral and Brain Sciences","3206","Neuropsychology and Physiological Psychology"
"57","0140-525X","Behavioral and Brain Sciences","1314","Physiology"
"58","0140-525X","Behavioral and Brain Sciences","2802","Behavioral Neuroscience"
"59","0731-129X","Criminal Justice Ethics","3308","Law"
"60","0748-0814","Journal of Law and Religion","1212","Religious Studies"
"61","0748-0814","Journal of Law and Religion","3308","Law"
"62","0007-0955","British Journal of Criminology","2734","Pathology and Forensic Medicine"
"63","0007-0955","British Journal of Criminology","3207","Social Psychology"
"64","0007-0955","British Journal of Criminology","1201","Arts and Humanities (miscellaneous)"
