"","X","issn","tilte","code","area","area2"
"1",1,"0302-9743","Lecture Notes in Computer Science",2614,"Theoretical Computer Science","Other"
"2",2,"0302-9743","Lecture Notes in Computer Science",1700,"Computer Science (all)","Other"
"3",3,"0167-4544","Journal of Business Ethics",1403,"Business and International Management","Social sciences"
"4",4,"0167-4544","Journal of Business Ethics",1400,"Business, Management and Accounting (all)","Social sciences"
"5",5,"0167-4544","Journal of Business Ethics",1201,"Arts and Humanities (miscellaneous)","Humanities"
"6",6,"0167-4544","Journal of Business Ethics",2002,"Economics and Econometrics","Social sciences"
"7",7,"0167-4544","Journal of Business Ethics",3308,"Law","Law"
"8",8,"0031-8116","Philosophical Studies",1211,"Philosophy","Philosophy"
"9",9,"1369-8230","Critical Review of International Social and Political Philosophy",1211,"Philosophy","Philosophy"
"10",10,"1369-8230","Critical Review of International Social and Political Philosophy",3312,"Sociology and Political Science","Social sciences"
"11",11,"1386-2820","Ethical Theory and Moral Practice",3301,"Social Sciences (miscellaneous)","Social sciences"
"12",12,"1386-2820","Ethical Theory and Moral Practice",1211,"Philosophy","Philosophy"
"13",13,"0897-6546","Law and Social Inquiry",3300,"Social Sciences (all)","Social sciences"
"14",14,"0897-6546","Law and Social Inquiry",3308,"Law","Law"
"15",17,"0023-9216","Law and Society Review",3312,"Sociology and Political Science","Social sciences"
"16",18,"0023-9216","Law and Society Review",3308,"Law","Law"
"17",22,"0306-6800","Journal of Medical Ethics",3306,"Health (social science)","Social sciences"
"18",23,"0306-6800","Journal of Medical Ethics",2910,"Issues, Ethics and Legal Aspects","Other"
"19",24,"0306-6800","Journal of Medical Ethics",1201,"Arts and Humanities (miscellaneous)","Humanities"
"20",25,"0306-6800","Journal of Medical Ethics",2719,"Health Policy","Other"
"21",26,"0952-8059","International Journal for the Semiotics of Law",1203,"Language and Linguistics","Humanities"
"22",27,"0952-8059","International Journal for the Semiotics of Law",3308,"Law","Law"
"23",28,"0039-7857","Synthese",1211,"Philosophy","Philosophy"
"24",29,"0039-7857","Synthese",3300,"Social Sciences (all)","Social sciences"
"25",32,"0003-0554","American Political Science Review",3312,"Sociology and Political Science","Social sciences"
"26",33,"0003-0554","American Political Science Review",3320,"Political Science and International Relations","Social sciences"
"27",34,"0261-3875","Legal Studies",3308,"Law","Law"
"28",35,"0920-427X","Argumentation",1211,"Philosophy","Philosophy"
"29",36,"0920-427X","Argumentation",3310,"Linguistics and Language","Social sciences"
"30",37,"0042-0220","University of Toronto Law Journal",3312,"Sociology and Political Science","Social sciences"
"31",38,"0042-0220","University of Toronto Law Journal",3308,"Law","Law"
"32",39,"0953-8208","Utilitas",1211,"Philosophy","Philosophy"
"33",40,"0953-8208","Utilitas",3312,"Sociology and Political Science","Social sciences"
"34",41,"0021-2237","Israel Law Review",3308,"Law","Law"
"35",42,"0045-5091","Canadian Journal of Philosophy",1211,"Philosophy","Philosophy"
"36",43,"0032-3217","Political Studies",3312,"Sociology and Political Science","Social sciences"
"37",44,"0924-8463","Artificial Intelligence and Law",3308,"Law","Law"
"38",45,"0924-8463","Artificial Intelligence and Law",1702,"Artificial Intelligence","Other"
"39",46,"1052-150X","Business Ethics Quarterly",1400,"Business, Management and Accounting (all)","Social sciences"
"40",47,"1052-150X","Business Ethics Quarterly",1211,"Philosophy","Philosophy"
"41",48,"1052-150X","Business Ethics Quarterly",2002,"Economics and Econometrics","Social sciences"
"42",49,"0034-6705","Review of Politics",3312,"Sociology and Political Science","Social sciences"
"43",50,"0034-6705","Review of Politics",3320,"Political Science and International Relations","Social sciences"
"44",51,"0964-6639","Social and Legal Studies",3312,"Sociology and Political Science","Social sciences"
"45",52,"0964-6639","Social and Legal Studies",3300,"Social Sciences (all)","Social sciences"
"46",53,"0964-6639","Social and Legal Studies",3308,"Law","Law"
"47",54,"1744-5523","International Journal of Law in Context",3308,"Law","Law"
"48",55,"2071-8322","German Law Journal",3308,"Law","Law"
"49",56,"0140-525X","Behavioral and Brain Sciences",3206,"Neuropsychology and Physiological Psychology","Other"
"50",57,"0140-525X","Behavioral and Brain Sciences",1314,"Physiology","Other"
"51",58,"0140-525X","Behavioral and Brain Sciences",2802,"Behavioral Neuroscience","Other"
"52",59,"0731-129X","Criminal Justice Ethics",3308,"Law","Law"
"53",60,"0748-0814","Journal of Law and Religion",1212,"Religious Studies","Humanities"
"54",61,"0748-0814","Journal of Law and Religion",3308,"Law","Law"
"55",62,"0007-0955","British Journal of Criminology",2734,"Pathology and Forensic Medicine","Other"
"56",63,"0007-0955","British Journal of Criminology",3207,"Social Psychology","Other"
"57",64,"0007-0955","British Journal of Criminology",1201,"Arts and Humanities (miscellaneous)","Humanities"
"58",65,"0007-0955","British Journal of Criminology",3308,"Law","Law"
"59",66,"0829-3201","Canadian Journal of Law and Society",3312,"Sociology and Political Science","Social sciences"
"60",67,"0829-3201","Canadian Journal of Law and Society",3308,"Law","Law"
"61",68,"0887-5367","Hypatia",3318,"Gender Studies","Social sciences"
"62",69,"0887-5367","Hypatia",1211,"Philosophy","Philosophy"
"63",70,"1362-1025","Citizenship Studies",3305,"Geography, Planning and Development","Social sciences"
"64",71,"1362-1025","Citizenship Studies",3320,"Political Science and International Relations","Social sciences"
"65",72,"1382-4554","Journal of Ethics",1211,"Philosophy","Philosophy"
"66",73,"0008-1973","Cambridge Law Journal",3308,"Law","Law"
"67",74,"0266-2671","Economics and Philosophy",1211,"Philosophy","Philosophy"
"68",75,"0266-2671","Economics and Philosophy",2002,"Economics and Econometrics","Social sciences"
"69",76,"0891-3811","Critical Review",3320,"Political Science and International Relations","Social sciences"
"70",77,"0891-3811","Critical Review",1208,"Literature and Literary Theory","Humanities"
"71",78,"0892-6794","Ethics and International Affairs",1211,"Philosophy","Philosophy"
"72",79,"0892-6794","Ethics and International Affairs",3320,"Political Science and International Relations","Social sciences"
"73",80,"1470-8914","Contemporary Political Theory",3312,"Sociology and Political Science","Social sciences"
"74",81,"1470-8914","Contemporary Political Theory",3320,"Political Science and International Relations","Social sciences"
"75",83,"1526-5161","American Journal of Bioethics",2910,"Issues, Ethics and Legal Aspects","Other"
"76",84,"1526-5161","American Journal of Bioethics",2719,"Health Policy","Other"
"77",85,"0022-3816","Journal of Politics",3312,"Sociology and Political Science","Social sciences"
"78",86,"1474-8851","European Journal of Political Theory",3312,"Sociology and Political Science","Social sciences"
"79",87,"1474-8851","European Journal of Political Theory",3320,"Political Science and International Relations","Social sciences"
"80",90,"0020-5893","International and Comparative Law Quarterly",3320,"Political Science and International Relations","Social sciences"
"81",91,"0020-5893","International and Comparative Law Quarterly",3308,"Law","Law"
"82",92,"0738-2480","Law and History Review",1202,"History","Humanities"
"83",93,"0738-2480","Law and History Review",3308,"Law","Law"
"84",94,"1744-9626","Journal of Global Ethics",1211,"Philosophy","Philosophy"
"85",95,"1744-9626","Journal of Global Ethics",3312,"Sociology and Political Science","Social sciences"
"86",96,"0047-2352","Journal of Criminal Justice",3207,"Social Psychology","Other"
"87",97,"0047-2352","Journal of Criminal Justice",3202,"Applied Psychology","Other"
"88",98,"0047-2352","Journal of Criminal Justice",3312,"Sociology and Political Science","Social sciences"
"89",99,"0047-2352","Journal of Criminal Justice",3308,"Law","Law"
"90",100,"0260-2105","Review of International Studies",3312,"Sociology and Political Science","Social sciences"
"91",101,"0260-2105","Review of International Studies",3320,"Political Science and International Relations","Social sciences"
"92",102,"0963-8016","Journal of Political Philosophy",1211,"Philosophy","Philosophy"
"93",103,"0963-8016","Journal of Political Philosophy",3312,"Sociology and Political Science","Social sciences"
"94",104,"1470-594X","Politics, Philosophy and Economics",1211,"Philosophy","Philosophy"
"95",105,"1470-594X","Politics, Philosophy and Economics",3312,"Sociology and Political Science","Social sciences"
"96",106,"1470-594X","Politics, Philosophy and Economics",2002,"Economics and Econometrics","Social sciences"
"97",107,"0004-8402","Australasian Journal of Philosophy",1211,"Philosophy","Philosophy"
"98",108,"0008-4239","Canadian Journal of Political Science",3312,"Sociology and Political Science","Social sciences"
"99",109,"0376-7418","Philosophy and Medicine",1211,"Philosophy","Philosophy"
"100",110,"0376-7418","Philosophy and Medicine",2719,"Health Policy","Other"
"101",111,"0376-7418","Philosophy and Medicine",2901,"Nursing (miscellaneous)","Other"
"102",112,"1043-4062","Constitutional Political Economy",3312,"Sociology and Political Science","Social sciences"
"103",113,"1043-4062","Constitutional Political Economy",1211,"Philosophy","Philosophy"
"104",114,"1043-4062","Constitutional Political Economy",2002,"Economics and Econometrics","Social sciences"
"105",115,"1043-4062","Constitutional Political Economy",3308,"Law","Law"
"106",116,"1353-3452","Science and Engineering Ethics",3306,"Health (social science)","Social sciences"
"107",117,"1353-3452","Science and Engineering Ethics",2910,"Issues, Ethics and Legal Aspects","Other"
"108",118,"1353-3452","Science and Engineering Ethics",2719,"Health Policy","Other"
"109",119,"1353-3452","Science and Engineering Ethics",1405,"Management of Technology and Innovation","Social sciences"
"110",120,"1537-5927","Perspectives on Politics",3320,"Political Science and International Relations","Social sciences"
"111",121,"1747-9991","Philosophy Compass",1211,"Philosophy","Philosophy"
"112",122,"0047-2786","Journal of Social Philosophy",1211,"Philosophy","Philosophy"
"113",123,"1386-9795","Philosophical Explorations",1211,"Philosophy","Philosophy"
"114",124,"2045-3817","Global Constitutionalism",1202,"History","Humanities"
"115",125,"2045-3817","Global Constitutionalism",1211,"Philosophy","Philosophy"
"116",126,"2045-3817","Global Constitutionalism",3312,"Sociology and Political Science","Social sciences"
"117",127,"0921-8009","Ecological Economics",2300,"Environmental Science (all)","Other"
"118",128,"0921-8009","Ecological Economics",2002,"Economics and Econometrics","Social sciences"
"119",129,"0922-1565","Leiden Journal of International Law",3320,"Political Science and International Relations","Social sciences"
"120",130,"0922-1565","Leiden Journal of International Law",3308,"Law","Law"
"121",131,"0885-7466","Social Justice Research",3314,"Anthropology","Social sciences"
"122",132,"0885-7466","Social Justice Research",3312,"Sociology and Political Science","Social sciences"
"123",133,"0885-7466","Social Justice Research",3308,"Law","Law"
"124",136,"0824-2577","Informal Logic",1211,"Philosophy","Philosophy"
"125",137,"1874-5490","Neuroethics",1211,"Philosophy","Philosophy"
"126",138,"1874-5490","Neuroethics",2808,"Neurology","Other"
"127",139,"1874-5490","Neuroethics",2719,"Health Policy","Other"
"128",140,"1874-5490","Neuroethics",2738,"Psychiatry and Mental Health","Other"
