X.2,X.1,item,position,id,name,X,group
1,18,https://openalex.org/W3195583762,first,https://openalex.org/A3195070249,Yevhen Leheza,NA,NA
2,19,https://openalex.org/W3195583762,middle,https://openalex.org/A3193479066,Iryna Odyntsova.,NA,NA
3,20,https://openalex.org/W3195583762,last,https://openalex.org/A3194055744,Natalia Dmytrenko.,NA,NA
4,57,https://openalex.org/W3124248919,first,https://openalex.org/A1752873660,Giuseppe Zaccaria,NA,NA
5,74,https://openalex.org/W2772332788,first,https://openalex.org/A2770700453,Saúl Uribe García,NA,NA
6,100,https://openalex.org/W1517609074,first,https://openalex.org/A1973935061,Fábio Perin Shecaira,NA,NA
7,104,https://openalex.org/W1499947777,first,https://openalex.org/A2099476760,Svein Eng,NA,NA
8,105,https://openalex.org/W1842520744,first,https://openalex.org/A1998891665,Marco Goldoni,NA,NA
9,106,https://openalex.org/W1842313537,first,https://openalex.org/A2319946778,Thomas Mertens,NA,NA
10,107,https://openalex.org/W2155052930,first,https://openalex.org/A2649409829,Matej Avbelj,NA,NA
11,110,https://openalex.org/W1916419287,first,https://openalex.org/A1431680466,Rex Ahdar,NA,NA
12,112,https://openalex.org/W1894224121,first,https://openalex.org/A318961921,Veronica Rodriguez-Blanco,NA,NA
13,113,https://openalex.org/W1891641877,first,https://openalex.org/A2128384848,Susan Haack,NA,NA
14,121,https://openalex.org/W2117583284,first,https://openalex.org/A2161086658,Agustín José Menéndez,NA,NA
15,122,https://openalex.org/W2048554440,first,https://openalex.org/A2528232832,Massimo La Torre,NA,NA
16,123,https://openalex.org/W3124510962,first,https://openalex.org/A2001883670,Sylvie Delacroix,NA,NA
17,124,https://openalex.org/W2117090172,first,https://openalex.org/A2599194942,Robert Alexy,NA,NA
18,126,https://openalex.org/W1985962153,first,https://openalex.org/A1216014168,Aleksander Peczenik,NA,NA
19,128,https://openalex.org/W2168874895,first,https://openalex.org/A2918428212,N.E. Simmonds,NA,NA
20,130,https://openalex.org/W2157385843,first,https://openalex.org/A2109784206,John J. Tilley,NA,NA
21,131,https://openalex.org/W2170925029,first,https://openalex.org/A140964997,Paolo Comanducci,NA,NA
22,132,https://openalex.org/W2001030269,first,https://openalex.org/A1961615466,Aulis Aarnio,NA,NA
23,133,https://openalex.org/W2001030269,last,https://openalex.org/A1216014168,Aleksander Peczenik,NA,NA
24,134,https://openalex.org/W2094636508,first,https://openalex.org/A2599194942,Robert Alexy,NA,NA
25,135,https://openalex.org/W1964212916,first,https://openalex.org/A2165370582,Jim Harris,NA,NA
26,136,https://openalex.org/W2108281592,first,https://openalex.org/A1961615466,Aulis Aarnio,NA,NA
27,137,https://openalex.org/W2108281592,last,https://openalex.org/A1216014168,Aleksander Peczenik,NA,NA
28,139,https://openalex.org/W2143230763,first,https://openalex.org/A2599194942,Robert Alexy,NA,NA
