X.2,X.1,item,id,display_name,ror,country_code,type,X,group
1,6,https://openalex.org/W3124248919,https://openalex.org/I138689650,University of Padua,https://ror.org/00240q980,IT,education,NA,NA
2,25,https://openalex.org/W1517609074,https://openalex.org/I122140584,Federal University of Rio de Janeiro,https://ror.org/03490as77,BR,education,NA,NA
3,28,https://openalex.org/W1499947777,https://openalex.org/I184942183,University of Oslo,https://ror.org/01xtthb56,NO,education,NA,NA
4,29,https://openalex.org/W1842520744,https://openalex.org/I7882870,University of Glasgow,https://ror.org/00vtgdb53,GB,education,NA,NA
5,30,https://openalex.org/W1842313537,https://openalex.org/I145872427,Radboud University Nijmegen,https://ror.org/016xsfp80,NL,education,NA,NA
6,31,https://openalex.org/W2155052930,https://openalex.org/I4210147604,Graduate School of Government and European Studies,https://ror.org/04jj9d877,SI,education,NA,NA
7,34,https://openalex.org/W1916419287,https://openalex.org/I80281795,University of Otago,https://ror.org/01jmxt844,NZ,education,NA,NA
8,36,https://openalex.org/W1894224121,https://openalex.org/I79619799,University of Birmingham,https://ror.org/03angcq70,GB,education,NA,NA
9,37,https://openalex.org/W1891641877,https://openalex.org/I145608581,University of Miami,https://ror.org/02dgjyy92,US,education,NA,NA
10,43,https://openalex.org/W2117583284,https://openalex.org/I8833935,University of Leon,https://ror.org/02tzt0b78,ES,education,NA,NA
11,44,https://openalex.org/W2048554440,https://openalex.org/I36443711,Magna Graecia University,https://ror.org/0530bdk91,IT,education,NA,NA
12,45,https://openalex.org/W3124510962,https://openalex.org/I69015056,Radcliffe Institute for Advanced Study,NA,US,NA,NA,NA
13,46,https://openalex.org/W2117090172,https://openalex.org/I32021983,Kiel University,https://ror.org/04v76ef78,DE,education,NA,NA
14,48,https://openalex.org/W1985962153,https://openalex.org/I187531555,Lund University,https://ror.org/012a77v79,SE,education,NA,NA
15,49,https://openalex.org/W2168874895,https://openalex.org/I241749,University of Cambridge,https://ror.org/013meh722,GB,education,NA,NA
16,51,https://openalex.org/W2157385843,https://openalex.org/I55769427,Indiana University – Purdue University Indianapolis,https://ror.org/05gxnyn08,US,education,NA,NA
17,52,https://openalex.org/W2170925029,https://openalex.org/I83816512,University of Genoa,https://ror.org/0107c5v14,IT,education,NA,NA
18,53,https://openalex.org/W2001030269,https://openalex.org/I166825849,University of Tampere,NA,FI,NA,NA,NA
19,54,https://openalex.org/W2001030269,https://openalex.org/I187531555,Lund University,https://ror.org/012a77v79,SE,education,NA,NA
20,55,https://openalex.org/W2094636508,https://openalex.org/I32021983,Kiel University,https://ror.org/04v76ef78,DE,education,NA,NA
21,56,https://openalex.org/W2108281592,https://openalex.org/I166825849,University of Tampere,NA,FI,NA,NA,NA
22,57,https://openalex.org/W2108281592,https://openalex.org/I187531555,Lund University,https://ror.org/012a77v79,SE,education,NA,NA
23,59,https://openalex.org/W2143230763,https://openalex.org/I32021983,Kiel University,https://ror.org/04v76ef78,DE,education,NA,NA
24,62,https://openalex.org/W2046984821,https://openalex.org/I32021983,Kiel University,https://ror.org/04v76ef78,DE,education,NA,NA
25,71,https://openalex.org/W628295875,https://openalex.org/I103163165,Florida State University,https://ror.org/05g3dte14,US,education,NA,NA
26,72,https://openalex.org/W1975012791,https://openalex.org/I241749,University of Cambridge,https://ror.org/013meh722,GB,education,NA,NA
27,73,https://openalex.org/W1975012791,https://openalex.org/I133731052,University of Helsinki,https://ror.org/040af2s02,FI,education,NA,NA
28,74,https://openalex.org/W1975012791,https://openalex.org/I171892758,Forschungszentrum Jülich,https://ror.org/02nv7yv05,DE,facility,NA,NA
29,75,https://openalex.org/W1975012791,https://openalex.org/I183935753,King's College London,https://ror.org/0220mzb33,GB,education,NA,NA
30,79,https://openalex.org/W1995846581,https://openalex.org/I36258959,"University of California, San Diego",https://ror.org/0168r3w48,US,education,NA,NA
32,81,https://openalex.org/W2013918566,https://openalex.org/I136199984,Harvard University,https://ror.org/03vek6s52,US,education,NA,NA
33,82,https://openalex.org/W1984201561,https://openalex.org/I177725633,Chinese University of Hong Kong,https://ror.org/00t33hh48,CN,education,NA,NA
34,84,https://openalex.org/W2062086344,https://openalex.org/I78757542,University of Newcastle Australia,https://ror.org/00eae9z71,AU,education,NA,NA
35,88,https://openalex.org/W2064781027,https://openalex.org/I114832834,Tulane University,https://ror.org/04vmvtb21,US,education,NA,NA
36,89,https://openalex.org/W2089927079,https://openalex.org/I55732556,Arizona State University,https://ror.org/03efmqc40,US,education,NA,NA
37,91,https://openalex.org/W2125413245,https://openalex.org/I98358874,Delft University of Technology,https://ror.org/02e2c7k09,NL,education,NA,NA
38,92,https://openalex.org/W2125413245,https://openalex.org/I99043593,Macquarie University,https://ror.org/01sf06y89,AU,education,NA,NA
39,93,https://openalex.org/W3124662247,https://openalex.org/I12093191,University of Stirling,https://ror.org/045wgfr59,GB,education,NA,NA
40,94,https://openalex.org/W3124662247,https://openalex.org/I130238516,University of Minnesota,https://ror.org/017zqws13,US,education,NA,NA
41,96,https://openalex.org/W2019055078,https://openalex.org/I157725225,University of Illinois Urbana-Champaign,https://ror.org/047426m28,US,education,NA,NA
42,97,https://openalex.org/W2018932464,https://openalex.org/I103163165,Florida State University,https://ror.org/05g3dte14,US,education,NA,NA
43,98,https://openalex.org/W1517830819,https://openalex.org/I160856358,University of San Diego,https://ror.org/03jbbze48,US,education,NA,NA
44,99,https://openalex.org/W1517830819,https://openalex.org/I102322142,"Rutgers, The State University of New Jersey",https://ror.org/05vt9qd57,US,education,NA,NA
45,100,https://openalex.org/W2052671436,https://openalex.org/I102322142,"Rutgers, The State University of New Jersey",https://ror.org/05vt9qd57,US,education,NA,NA
46,101,https://openalex.org/W3123292543,https://openalex.org/I98358874,Delft University of Technology,https://ror.org/02e2c7k09,NL,education,NA,NA
47,102,https://openalex.org/W3122164896,https://openalex.org/I111088046,Boston University,https://ror.org/05qwgg493,US,education,NA,NA
48,105,https://openalex.org/W1972411919,https://openalex.org/I55732556,Arizona State University,https://ror.org/03efmqc40,US,education,NA,NA
