Id,Label,timeset,stat_inf_class,modularity.class,eigen,modularity_class
https://openalex.org/W1022946631,Democracy and Distrust,,30,6,0.000122,5
https://openalex.org/W103431794,International Law and Morality in the Theory of Secession,,0,8,0.000439,9
https://openalex.org/W104357497,"Exemplary Reasoning: Semantics, Pragmatics, and the Rational Force of Legal Argument by Analogy",,33,4,0.000151,0
https://openalex.org/W104378995,"The Supreme Court, 1982 Term -- Foreword: Nomos and Narrative",,2,9,0.000144,5
https://openalex.org/W105723337,Thirty Years On,,25,6,0.006381,12
https://openalex.org/W106159907,Political Obligation: A Critical Introduction,,21,16,0.000412,9
https://openalex.org/W107842537,Liberalism without Perfection,,19,16,0.000213,9
https://openalex.org/W109677913,The Core of the Case Against Judicial Review,,4,9,0.006239,5
https://openalex.org/W1104365280,"Eliminative Materialism, Neuroscience and the Criminal Law",,2,6,0.000009,7
https://openalex.org/W1152817606,Self-expression: a deep self theory of moral responsibility,,5,13,0.000001,11
https://openalex.org/W1172060961,The Sandelian Republic and the Encumbered Self,,18,16,0.00004,9
https://openalex.org/W127338104,The Collapse of the Harm Principle,,26,16,0.000018,11
https://openalex.org/W127361949,Violence and the Word,,2,6,0.00011,7
https://openalex.org/W129283682,Modelling Reasoning with Precedents in a Formal Dialogue Game,,14,4,0.000091,0
https://openalex.org/W135169145,Artificial Intelligence and Law: Stepping Stones to a Model of Legal Reasoning,,14,4,0.00005,0
https://openalex.org/W136591480,Kant's Legal Positivism,,22,6,0.002378,12
https://openalex.org/W138458895,The Case of the Speluncean Explorers,,4,6,0.000091,12
https://openalex.org/W143717986,Private law as an open legal order: understanding contract and tort as interactional law,,35,9,0.025388,5
https://openalex.org/W1450459739,Some Confusions Concerning Collective Rights,,0,8,0.00038,9
https://openalex.org/W145388696,What is Equality? Part 1: Equality of Welfare,,32,16,0.000106,9
https://openalex.org/W1469406,The Idea of Public Reason Revisited,,19,16,0.000121,9
https://openalex.org/W1480951599,Jumps and logic in the law,,14,4,0.000069,0
https://openalex.org/W1482768500,The Role of Logic in Computational Models of Legal Argument: A Critical Survey,,14,4,0.000007,0
https://openalex.org/W1483374326,Sovereign Virtue: The Theory and Practice of Equality,,18,16,0.000239,9
https://openalex.org/W1484347295,"Jaap Hage, Reasoning with Rules: An Essay on Legal Reasoning and Its Underlying Logic. Law and Philosophy Library",,14,4,0.000012,0
https://openalex.org/W1484722677,Argumentation Machines: New Frontiers in Argument and Computation,,14,4,0.000003,0
https://openalex.org/W1485501857,Pure Theory of Law,,20,6,0.005652,12
https://openalex.org/W1485844409,Where Law and Morality Meet,,9,6,0.003894,12
https://openalex.org/W1485874378,The Idea of Private Law,,2,16,0.001181,7
https://openalex.org/W1486267044,"The role of context in case-based legal reasoning: teleological, temporal, and procedural",,14,4,0.000018,0
https://openalex.org/W1487323630,"Justice, Gender, and the Politics of Multiculturalism",,22,11,0.000002,6
https://openalex.org/W1487379640,A constructive framework for legal ontologies,,24,4,0.000019,13
https://openalex.org/W1488505771,The New Rhetoric: A Treatise on Argumentation,,14,4,0.000034,0
https://openalex.org/W1489372415,Punishment and responsibility,,5,13,0.00013,11
https://openalex.org/W1490967561,Contract Law and Distributive Justice,,2,16,0.000067,7
https://openalex.org/W1491223880,The Tempting of America: The Political Seduction of the Law,,4,6,0.000062,5
https://openalex.org/W1491401198,The Works of Jeremy Bentham,,33,6,0.000146,12
https://openalex.org/W1492279571,Forgiveness and Mercy,,5,13,0.000027,11
https://openalex.org/W1493648651,The Rule of State Law Versus the Rule-of-Law State: Economic Analysis of the Legal Foundations of Development,,23,6,0.000061,12
https://openalex.org/W1494817860,"A theory of political obligation : membership, commitment, and the bonds of society",,29,16,0.000147,9
https://openalex.org/W1495037185,"Indigenous rights and United Nations standards : self-determination, culture and land",,16,1,0.000008,10
https://openalex.org/W1495102811,A history of the criminal law of England,,5,13,0.00001,19
https://openalex.org/W1497100241,"Fairness, responsibility, and welfare",,32,16,0.000023,9
https://openalex.org/W1497647472,"Punishment, Communication, and Community",,5,13,0.000163,11
https://openalex.org/W1498667339,Dynamic statutory interpretation,,30,6,0.00007,5
https://openalex.org/W1498731399,Is Democracy Possible Here?: Principles for a New Political Debate,,4,6,0.000486,5
https://openalex.org/W1499476502,Constitutional Justice: A Liberal Theory of the Rule of Law,,8,6,0.000781,12
https://openalex.org/W1500187011,Harsh Justice: Criminal Punishment and the Widening Divide Between America and Europe,,27,13,0.000003,11
https://openalex.org/W1501756943,Expert Systems in Law,,14,4,0.000028,0
https://openalex.org/W1501768235,Natural law in jurisprudence and politics,,10,7,0.003177,12
https://openalex.org/W1503479491,Overcriminalization: The Limits of the Criminal Law,,5,13,0.000014,11
https://openalex.org/W1504060166,The Common Law,,2,6,0.000274,7
https://openalex.org/W1504175823,An introduction to law and legal reasoning,,33,4,0.000092,0
https://openalex.org/W1504344787,Classical legal positivism in international law revisited,,27,15,0.844251,20
https://openalex.org/W1504374584,Can There be a Theory of Law,,7,15,0.01198,12
https://openalex.org/W1504699294,Causation and the Excuses,,5,13,0.000004,19
https://openalex.org/W1507034046,Law as a Social System,,31,6,0.000195,12
https://openalex.org/W1507985951,The Model of Rules,,33,6,0.001546,12
https://openalex.org/W1508183662,Naturrecht und materiale Gerechtigkeit,,20,16,0.000001,9
https://openalex.org/W1508429220,Responsibility in law and morality,,26,6,0.000029,11
https://openalex.org/W1508831339,"Moral Dimensions: Permissibility, Meaning, Blame",,24,13,0.000059,11
https://openalex.org/W1509866152,Natural law and the theory of property : Grotius to Hume,,20,16,0.000017,23
https://openalex.org/W1510947511,"Justice, Legitimacy, and Self-Determination: Moral Foundations for International Law",,13,16,0.000615,2
https://openalex.org/W1511258558,The Problems of Jurisprudence,,30,6,0.000258,7
https://openalex.org/W1511264461,"The Second-Person Standpoint: Morality, Respect, and Accountability",,5,13,0.000179,11
https://openalex.org/W1512637848,The nature of the common law,,33,4,0.000114,0
https://openalex.org/W1514075784,In Defense of Anarchism,,21,16,0.000417,9
https://openalex.org/W1514428340,Faces of Intention: Selected Essays on Intention and Agency,,29,11,0.000263,6
https://openalex.org/W1514637386,Logical Tools for Modelling Legal Argument,,14,4,0.000098,0
https://openalex.org/W1514715482,The Citizen and the Alien: Dilemmas of Contemporary Membership,,22,11,0.000003,6
https://openalex.org/W1515891061,Natural Law Theory,,7,6,0.000264,12
https://openalex.org/W1516740357,Justice as translation : an essay in cultural and legal criticism,,2,6,0.00003,7
https://openalex.org/W1517612892,System des heutigen römischen Rechts,,2,11,0.000041,2
https://openalex.org/W1518206697,Semiotics and Legal Theory,,33,6,0.000076,7
https://openalex.org/W1518249528,The Pleadings Game: An Artificial Intelligence Model of Procedural Justice,,14,4,0.000055,0
