"","id","display_name","publication_year","type","journal","journal_id","doi","first_author"
"1","https://openalex.org/W2016484275","Global Health, Vulnerable Populations, and Law",2013,"journal-article","Journal of Law Medicine & Ethics","https://openalex.org/V171945920","https://doi.org/10.1111/jlme.12004","Solomon R. Benatar"
"2","https://openalex.org/W2334055884","Vague and Attractive: Five Explanations of the Use of Ambiguous Management Ideas",2005,"journal-article","Philosophy of Management","https://openalex.org/V68051293","https://doi.org/10.5840/pom20055130","Anders Örtenblad"
"3","https://openalex.org/W3125565931","Dixonian Strict Legalism, Wilson v Darling Island Stevedoring and Contracting in the Real World",2010,"journal-article","Oxford Journal of Legal Studies","https://openalex.org/V34110867","https://doi.org/10.1093/ojls/gqq012","John Gava"
"4","https://openalex.org/W3123467045","Questioning judicial deliberations",2009,"journal-article","Oxford Journal of Legal Studies","https://openalex.org/V34110867","https://doi.org/10.1093/ojls/gqp026","Jan Komárek"
"5","https://openalex.org/W2143602811","Piloting PTWI—A Socio-Legal Window on Prosecutors’ Assessments of Evidence and Witness Credibility",2010,"journal-article","Oxford Journal of Legal Studies","https://openalex.org/V34110867","https://doi.org/10.1093/ojls/gqq004","Paul Roberts"
"6","https://openalex.org/W2032628443","The Structure of Evidence Law",2006,"journal-article","Oxford Journal of Legal Studies","https://openalex.org/V34110867","https://doi.org/10.1093/ojls/gql024","Mike Redmayne"
"7","https://openalex.org/W2016154477","Institutional Approaches to Judicial Restraint",2008,"journal-article","Oxford Journal of Legal Studies","https://openalex.org/V34110867","https://doi.org/10.1093/ojls/gqn020","Jeff King"
"8","https://openalex.org/W2095469125","Families: Law, Gender and Difference",2002,"journal-article","Hypatia: A Journal of Feminist Philosophy","https://openalex.org/V124984400","https://doi.org/10.1353/hyp.2002.0043","David M. Adams"
"9","https://openalex.org/W1018469321","RESEARCH INTO ROM. 8,4a: THE LEGAL CLAIM OF THE LAW",1976,"journal-article","Bijdragen","https://openalex.org/V93119312","https://doi.org/10.1080/00062278.1976.10597111","H. W. M. Van De Sandt"
"10","https://openalex.org/W2118322268","OMISSION AND RESPONSIBILITY IN LEGAL THEORY",2003,"journal-article","Legal Theory","https://openalex.org/V139242520","https://doi.org/10.1017/s1352325203000107","Patricia Smith"
"11","https://openalex.org/W1970411997","Detailing Judicial Difference",2009,"journal-article","Feminist Legal Studies","https://openalex.org/V74983385","https://doi.org/10.1007/s10691-009-9107-8","Erika Rackley"
