"","id","display_name","publication_year","type","journal","journal_id","doi","first_author","n","citations"
"1","https://openalex.org/W980191164","What Inferentialism Tells Us About Vagueness in Law",2015,"journal-article","Social Science Research Network","https://openalex.org/V2751751161","https://doi.org/10.2139/ssrn.2627120","Damiano Canale",4,0
"2","https://openalex.org/W9746346","A Moral Point of View",2011,"book-chapter","Law and philosophy library","https://openalex.org/V4210184901","https://doi.org/10.1007/978-94-007-1655-1_8","Aulis Aarnio",4,2
"3","https://openalex.org/W92077048","A Note on Franz Kafka’s Concept of Law",2015,"book-chapter",NA,NA,"https://doi.org/10.1007/978-3-319-09650-6_6","Reza Banakar",4,0
"4","https://openalex.org/W801404083","Developing a Framework: Morality's Role In The Law",2002,"dissertation",NA,NA,NA,"Ian Clarke",4,0
"5","https://openalex.org/W788603564","UNDERSTANDING FUNDAMENTAL SECONDARY RULES AND THE INCLUSIVE/EXCLUSIVE LEGAL POSITIVISM DEBATE",2012,"dissertation",NA,NA,NA,"Heather N. Kuiper",4,0
"6","https://openalex.org/W762383306","Raz and His Critics: A Defense of Razian Authority",2009,NA,NA,NA,NA,"Jason Thomas Craig",4,0
"7","https://openalex.org/W654773225","Cicero on Politics and the Limits of Reason: The Republic and Laws",2013,"book",NA,NA,NA,"Jed W. Atkins",4,18
"8","https://openalex.org/W644226352","End-of-life decisions in medical care : principles and policies for regulating the dying process",2012,"book",NA,NA,NA,"Stephen W. Smith",4,8
"9","https://openalex.org/W636452165","The Cambridge Rawls lexicon",2015,"book",NA,NA,"https://doi.org/10.1017/cbo9781139026741","Jon Mandle",4,5
"10","https://openalex.org/W633678732","Justice for Victims of Injury - The Influence of ACC on the Civil and Criminal Law in New Zealand",2011,"dissertation",NA,NA,NA,"Simon Hugh Connell",4,0
"11","https://openalex.org/W626407162","Theory of legal principles",2007,"book",NA,NA,NA,"Humberto Bergmann Ávila",4,27
"12","https://openalex.org/W617560100","Democracy and Authenticity: Toward A Theory Of Public Justification",2014,"book",NA,NA,NA,"Howard Schweber",4,3
"13","https://openalex.org/W603543320","Parliamentary Sovereignty: Contemporary Debates",2010,"book",NA,NA,NA,"Jeffrey Goldsworthy",4,39
"14","https://openalex.org/W594202495","Property Law and Social Morality",2013,"book",NA,NA,NA,"Peter M. Gerhart",4,3
"15","https://openalex.org/W567772771","The English Historical Constitution: Continuity, Change and European Effects",2007,"book",NA,NA,NA,"J. W. F. Allison",4,15
"16","https://openalex.org/W56037265","The Binding Force of Law",2014,"book-chapter","Law and philosophy library","https://openalex.org/V4210184901","https://doi.org/10.1007/978-3-319-06167-2_7","Torben Spaak",4,0
"17","https://openalex.org/W51520972","Roman Catholic Ethics and Beneficence",1982,"book-chapter","Philosophy and medicine","https://openalex.org/V4210233080","https://doi.org/10.1007/978-94-009-7769-3_6","William E. May",4,0
"18","https://openalex.org/W4206950740","Bibliographie",2016,"book-chapter","La politique de la stupéfaction",NA,"https://doi.org/10.4000/books.pur.9752","Nicolas Carrier",4,NA
"19","https://openalex.org/W4206844380","Freedom of Thought as an International Human Right: Elements of a Theory of a Living Right",2021,"book-chapter",NA,NA,"https://doi.org/10.1007/978-3-030-84494-3_3","Jan Christoph Bublitz",4,NA
"20","https://openalex.org/W4206516132","A Good Enough (Meta) Theory of Evidence in Law: An Inferentialist Account",2021,"book-chapter",NA,NA,"https://doi.org/10.1007/978-3-030-83841-6_5","Maciej Dybowski",4,NA
"21","https://openalex.org/W4205434305","The Invisible Foundations of Originalism",2022,"book-chapter","Law and Philosophy Library",NA,"https://doi.org/10.1007/978-3-030-87718-7_7","Alessio Sardo",4,NA
"22","https://openalex.org/W4205219490","Why Are We Bound by Evidence? On The Normative Stance of Legal Proof",2021,"book-chapter",NA,NA,"https://doi.org/10.1007/978-3-030-83841-6_4","Weronika Dzi<U+0229>gielewska",4,NA
"23","https://openalex.org/W4200539287","Political Legitimacy, Authoritarianism, and Climate Change",2021,"journal-article","American Political Science Review","https://openalex.org/V176007004","https://doi.org/10.1017/s0003055421001301","Ross Mittiga",4,NA
"24","https://openalex.org/W4200535339","Does Law Matter?",2021,"journal-article",NA,NA,"https://doi.org/10.51204/anali_pfbu_21402a","Frederick Schauer",4,NA
"25","https://openalex.org/W40733937","Ontological modeling of a class of linked economic crimes",2013,"book-chapter","Lecture Notes in Computer Science","https://openalex.org/V106296714","https://doi.org/10.1007/978-3-642-36815-8_5","Jaroslaw Bak",4,3
"26","https://openalex.org/W38179332","Alexy’s Procedural Theory of Legal Argumentation",1999,"book-chapter","Argumentation library","https://openalex.org/V4210210149","https://doi.org/10.1007/978-94-015-9219-2_9","Eveline T. Feteris",4,0
"27","https://openalex.org/W367037909","Punishment and Personal Responsibility",2007,NA,NA,NA,NA,"Göran Duus-Otterström",4,7
"28","https://openalex.org/W32404409","Why Is Legal Reasoning Defeasible",2001,"book-chapter",NA,NA,"https://doi.org/10.1007/978-94-017-2702-0_17","Juan Bayón Carlos",4,13
"29","https://openalex.org/W3215729540","Do Victims of Injustice Have a Fairness-Based Duty to Resist?",2021,"journal-article","Res Publica","https://openalex.org/V163937955","https://doi.org/10.1007/s11158-021-09539-8","Marie Kerguelen Feldblyum Le Blevennec",4,0
"30","https://openalex.org/W3215513391","Punishing Moral Animals",2021,"journal-article","Canadian Journal of Philosophy","https://openalex.org/V41191225","https://doi.org/10.1017/can.2021.33","Eli Shupe",4,0
"31","https://openalex.org/W3215176777","Unjust combatants, special authority, and “transferred responsibility”",2021,"journal-article","Philosophical Studies","https://openalex.org/V147022693","https://doi.org/10.1007/s11098-021-01759-1","Luciano Venezia",4,0
"32","https://openalex.org/W3215096763","Statistical Evidence and the Problem of Specification",2021,"journal-article","Episteme","https://openalex.org/V116734912","https://doi.org/10.1017/epi.2021.45","Frederick Schauer",4,0
"33","https://openalex.org/W3213974513","Good governance: Contemporary issues in political philosophy",2021,"journal-article","Philosophy Compass","https://openalex.org/V34011028","https://doi.org/10.1111/phc3.12790","Nikolas Kirby",4,0
"34","https://openalex.org/W3213627598","Ongoing crimes and the unlikelihood of punishment - Syria as a case study",2021,"dissertation",NA,NA,NA,"Ghuna Bdiwi",4,0
"35","https://openalex.org/W3211863033","Corporate social responsibility and board gender diversity: a meta-analysis",2021,"journal-article","Management Research Review","https://openalex.org/V117011005","https://doi.org/10.1108/mrr-03-2021-0236","Qichun Wu",4,0
"36","https://openalex.org/W3210432096","HUKUK DEVLETININ KANUN DEVLETINE ANAYASAL DEVLETIN ANAYASALI DEVLETE EVIRILMESI",2021,"journal-article","Ankara Üniversitesi Hukuk Fakültesi dergisi","https://openalex.org/V4210197908","https://doi.org/10.33629/auhfd.718219","Ömer Keskinsoy",4,0
"37","https://openalex.org/W3210240631","Author Index, Keyword Index",2021,"journal-article","PSU Medical Journal","https://openalex.org/V4210219019","https://doi.org/10.31584/psumj.2021252589","Puttisak Puttawibul",4,0
"38","https://openalex.org/W3210106544","Questioning the Non-Interference Paradigm",2022,"book-chapter",NA,NA,"https://doi.org/10.1007/978-3-030-78631-1_2","Suzanne Whitten",4,0
"39","https://openalex.org/W3209764683","INSAN HAKLARI TEORISINDEKI AYRIªMALAR: GELENEKSEL, POLITIK VE HUKUKI",2021,"journal-article","Hacettepe hukuk fakültesi dergisi","https://openalex.org/V4210215127","https://doi.org/10.32957/hacettepehdf.905270","Elif Çelik",4,0
