...1,id,display_name,publication_year,type,journal,journal_id,doi,citations,first_author,n,group,X.1,X
1,https://openalex.org/W972539578,The wrongness of rape,2000,book-chapter,NA,NA,NA,34,Stephen Shute,8,expand1,NA,NA
2,https://openalex.org/W931101581,The Expressivist Theory of Punishment Defended,2015,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/s10982-015-9235-z,10,Joshua Glasgow,8,expand1,NA,NA
3,https://openalex.org/W7221777,"Arguments, Values and Baseballs: Representation of Popov v. Hayashi",2007,proceedings-article,international conference on legal knowledge and information systems,NA,NA,25,Adam Wyner,8,expand1,NA,NA
4,https://openalex.org/W657940016,Law as Communication,2002,book,NA,NA,NA,54,Mark Van Hoecke,8,expand1,NA,NA
5,https://openalex.org/W655346292,Who Knew?: Responsibility Without Awareness,2009,book,NA,NA,NA,124,George Sher,8,expand1,NA,NA
6,https://openalex.org/W637206226,The Nature of Legislative Intent,2012,book,NA,NA,NA,39,Richard Ekins,8,expand1,NA,NA
7,https://openalex.org/W632809485,Justification and excuse in the criminal law,1989,book,NA,NA,NA,28,John Charles Smith,8,expand1,NA,NA
8,https://openalex.org/W625842885,Law as a means to an end : threat to the rule of law,2006,monograph,NA,NA,https://doi.org/10.1017/cbo9780511511073,146,Brian Z. Tamanaha,8,expand1,NA,NA
9,https://openalex.org/W622702766,Making Sense of Human Rights,1987,book,NA,NA,NA,250,James W. Nickel,8,expand1,NA,NA
10,https://openalex.org/W596202368,Essays on Bentham : studies in jurisprudence and political theory,1984,journal-article,Harvard Law Review,https://openalex.org/V117766065,https://doi.org/10.2307/1341028,89,H. L. A. Hart,8,expand1,NA,NA
11,https://openalex.org/W592047596,Gesetzliches unrecht und übergesetzliches recht (1946),2002,book,Korean Journal of Legal Philosophy,NA,NA,79,Gustav Radbruch,8,expand1,NA,NA
12,https://openalex.org/W588788548,The philosophy of right,2002,book,NA,NA,NA,231,Georg Wilhelm Friedrich Hegel,8,expand1,NA,NA
13,https://openalex.org/W571989595,Rationality and Responsibility,2000,NA,NA,NA,NA,23,Stephen J. Morse,8,expand1,NA,NA
14,https://openalex.org/W565465135,Consent to Sexual Relations,2003,book,NA,NA,NA,81,Alan Wertheimer,8,expand1,NA,NA
15,https://openalex.org/W56467531,Property and Sovereignty,1927,journal-article,Cornell Law Review,https://openalex.org/V194663980,NA,169,Morris R. Cohen,8,expand1,NA,NA
16,https://openalex.org/W3163242642,The priority of right and ideas of the good,1988,journal-article,Philosophy & Public Affairs,https://openalex.org/V15279844,NA,209,John Rawls,8,expand1,NA,NA
17,https://openalex.org/W3160170961,Samaritanism and the Duty to Obey the Law,2005,NA,NA,NA,NA,21,Christopher Heath Wellman,8,expand1,NA,NA
18,https://openalex.org/W3152159965,THE ETHICS OF DEFERENCE,2002,NA,NA,NA,NA,19,Philip Soper,8,expand1,NA,NA
19,https://openalex.org/W3145639119,THE HISTORIC BACKGROUND OF CORPORATE LEGAL PERSONALITY,1926,journal-article,Yale Law Journal,https://openalex.org/V161895660,NA,108,John Dewby,8,expand1,NA,NA
20,https://openalex.org/W3145339011,Fundamental principles of the sociology of law,1936,book,NA,NA,NA,228,Eugen Ehrlich,8,expand1,NA,NA
21,https://openalex.org/W3133675922,The Right to Be Hurt. Testing the Boundaries of Consent.,2006,journal-article,The George Washington Law Review,https://openalex.org/V13956896,NA,19,Vera Bergelson,8,expand1,NA,NA
22,https://openalex.org/W3124825394,Herbert Hart and the Semantic Sting,1998,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325200001038,22,Timothy Endicott,8,expand1,NA,NA
23,https://openalex.org/W3124573500,The Idea of Constitutional Pluralism,2002,journal-article,Modern Law Review,https://openalex.org/V82119083,https://doi.org/10.1111/1468-2230.00383,266,Neil Walker,8,expand1,NA,NA
24,https://openalex.org/W3124514122,The Three Faces of Defeasibility in the Law,2004,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/j.0952-1917.2004.00259.x,46,Henry Prakken,8,expand1,NA,NA
25,https://openalex.org/W3124454284,n Guilty Men,1997,journal-article,University of Pennsylvania Law Review,https://openalex.org/V107914479,https://doi.org/10.2307/3312707,84,Alexander Volokh,8,expand1,NA,NA
26,https://openalex.org/W3124306512,Does Punishment for ““Culpable Indifference”” Simply Punish for ““Bad Character””? Examining the Requisite Connection Between Mens Rea and Actus Reus,2002,journal-article,Buffalo Criminal Law Review,https://openalex.org/V176536853,https://doi.org/10.1525/nclr.2002.6.1.219,17,Kenneth W. Simons,8,expand1,NA,NA
27,https://openalex.org/W3124236532,Free Will Skepticism and Criminal Behavior: A Public Health-Quarantine Model,2016,journal-article,Southwest Philosophy Review,https://openalex.org/V2764538478,https://doi.org/10.5840/swphilreview20163214,33,Gregg D. Caruso,8,expand1,NA,NA
28,https://openalex.org/W3124053009,"Retributivism, moral education, and the liberal state",1985,journal-article,Criminal Justice Ethics,https://openalex.org/V78048965,https://doi.org/10.1080/0731129x.1985.9991766,27,Jeffrie G. Murphy,8,expand1,NA,NA
29,https://openalex.org/W3123629031,Raz on necessity,2003,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1023/a:1025995612621,21,Brian H. Bix,8,expand1,NA,NA
30,https://openalex.org/W3123019297,"Justification and Excuse, Law and Morality",2003,journal-article,Duke Law Journal,https://openalex.org/V120433428,NA,29,Mitchell N. Berman,8,expand1,NA,NA
31,https://openalex.org/W3122931790,Punishment and Disgorgement as Contract Remedies,2003,journal-article,Chicago-Kent} Law Review,https://openalex.org/V2764669884,NA,28,Ernest J. Weinrib,8,expand1,NA,NA
32,https://openalex.org/W3121930290,Lon Fuller and the Moral Value of the Rule of Law,2005,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/s10982-004-7990-3,47,Colleen Murphy,8,expand1,NA,NA
33,https://openalex.org/W3121890212,Juridical proof and the best explanation,2008,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/s10982-007-9016-4,85,Michael S. Pardo,8,expand1,NA,NA
34,https://openalex.org/W3022825575,Autonomous agents,1995,book,NA,NA,NA,277,Alfred Mele,8,expand1,NA,NA
35,https://openalex.org/W2969229921,Lectures On Jurisprudence,2002,book,NA,NA,NA,64,John Austin,8,expand1,NA,NA
36,https://openalex.org/W2961577344,The Rule of Recognition and the Constitution,1987,journal-article,Michigan Law Review,https://openalex.org/V69429964,https://doi.org/10.2307/1288727,23,Kent Greenawalt,8,expand1,NA,NA
37,https://openalex.org/W2901533463,The Normativity of Law and Its Co-ordinative Function,1981,journal-article,Israel Law Review,https://openalex.org/V181618396,https://doi.org/10.1017/s0021223700007202,15,Chaim Gans,8,expand1,NA,NA
38,https://openalex.org/W2899766258,Responsibility and control,1998,book,NA,NA,NA,287,John Martin Fischer,8,expand1,NA,NA
39,https://openalex.org/W2894596653,The Bramble Bush,1951,journal-article,California Law Review,https://openalex.org/V172107878,https://doi.org/10.2307/3477969,108,Grant Gilmore,8,expand1,NA,NA
40,https://openalex.org/W2797917190,Beyond Rape - An Essay on the Difference Between the Presence of Force and the Absence of Consent,1992,journal-article,Columbia Law Review,https://openalex.org/V183770981,https://doi.org/10.2307/1123045,31,Donald A. Dripps,8,expand1,NA,NA
